agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene1016	1427.52187922508	623.031157433296	957.698174730062	998.427698805981	858.18800746313	732.991642125945	461.183576809125	355.2213047407	398.283039404605	613.103818937493	633.356950267648	520.528481475556	647.217265319747	680.337127055125	595.035297117205	548.680505900311	1007.62030093477	1055.07613911942	808.890400918164	847.38396046661	887.509092167486	1271.73699360755	789.739328167921	1806.98624662137	777.026659194551	1433.92877376704	657.465833373207	971.908428068937	1704.73421717677	1041.79323599023	543.115063260195	1077.53964493488	957.832164430725	1727.95637587844	1065.04013913375
gene1017	0	0	0	0	0	0	335.215008463682	90.2053824962122	43.4231399637203	91.7941695682444	167.485798309987	143.300251596693	247.675944693284	190.581577065418	236.042869860676	175.135344364925	113.413232390064	341.280968564213	0	57.1674424858013	139.369212388084	0	0	0	0	0	0	0	249.318421900658	0	468.76519736208	187.982175617712	11.8185032463799	19.2274786920984	122.611028016643
gene1018	0	0	0	0	0	0	63.9955925248848	0	40.0689200850929	0	40.2980492005879	0	0	11.5127097409374	0.43356076857117	0	0	0	0.227611985160711	0	1.47361307806358	0	0	0	0.784033610974533	0	1.41152090338628	0	0	0	0	0	0	0	0
gene1019	1611.60578467578	334.52223371035	115.434993079818	245.269357237377	412.046584034241	233.171259160095	230.271489582391	232.415232878436	175.026181425916	375.458148303728	251.725135999446	192.595538145956	216.782473374059	167.8198188659	221.566723463376	236.389364559885	194.240289106764	148.210065209074	177.112930765252	172.219278881318	185.102894015309	114.076255147993	126.74830105692	196.021693985367	127.790476929733	175.092968683306	164.724961789026	0	0	133.870801042667	49.5837165872238	377.288199973835	101.634447323522	420.084327462566	59.5223261201144
gene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178241649301481	65.4767367000685	0	0	0	0	9.6065538279478	104.413963994561	0	0	0	0	0	0	0	0	0	0	31.4372186353706	0	0
gene1020	2.10031334923359	141.926918859108	216.101404314433	82.7067907578637	198.629572008817	253.416373538726	207.558138343719	390.052641274761	151.859355434413	553.902286495976	158.165928964152	157.212779341858	260.376270338279	183.876223501883	171.991910458885	193.132566749031	88.1257164107784	71.9215237027726	53.7244863885212	71.1586972975082	65.2903860232675	89.491354473805	194.38966680452	48.1193478273973	69.8125075649349	84.5913287520611	67.5050511467256	0	91.1678724603703	0	100.432562503107	139.993621402739	239.894671718544	106.691281234789	173.828292884354
gene1021	0	313.846750407811	329.814265942337	142.587672275026	145.392379519295	47.7247266813072	314.064178496712	408.775343375828	194.085209169047	205.173601782487	144.410889773227	259.362334953043	58.4911595872789	152.775206446939	174.7650547557	160.519385579745	70.374977317921	91.8997504535535	86.0661048109931	90.5053277139929	130.139627385565	0	126.495310436048	561.849084036858	76.3348781953747	123.518554640451	154.429651677211	110.54567036929	73.3324892236178	0	0	140.981200167585	316.256125980109	266.457525342536	174.488037230285
gene1023	8.04689725126447	48.9338258122391	360.302936489678	515.493087566	410.535124872918	695.495845683624	609.18208840628	634.675819409247	451.490432951181	252.810171925657	501.123455091702	428.369340492999	541.722807310503	317.332383869808	438.123817971542	444.999726055401	396.161743277185	554.242715426003	377.500195749589	527.951557721228	541.831768851464	270.43015860117	520.815063394232	237.146506357423	238.372287784896	161.060016730545	132.059487898851	666.719315189914	140.95811618054	369.424888123207	758.732336942867	529.4725359811	347.735239780372	624.984686728291	250.135430562185
gene1024	22.2936814815687	10.1074236389028	137.201660000222	111.628817055041	146.186088644834	108.096657198224	264.811672491071	410.21580067727	242.686293078387	219.26190266538	213.883536531805	203.770865260099	161.174466378969	284.924296702359	229.019400673576	197.711090096153	145.697749384835	352.619760699047	174.11901159169	343.144382784009	383.031647952298	316.318826557697	203.750372897381	167.665667210001	166.840666948336	369.271900777588	227.239879954983	243.852676936651	122.252773748999	160.200840110301	375.56174963989	590.975442767558	350.286993375406	402.842486447522	289.256137711721
gene1025	170.975788216186	302.281625666861	125.647163911633	371.366610581688	240.362010218555	182.092866922148	330.766938251469	332.14842773868	370.476769391157	318.084353815906	359.345529733739	317.911110817402	190.367046971392	296.139833600421	362.039957669984	282.494194982565	209.464829778741	148.76368398325	165.826695441033	172.848160295936	334.93829492435	152.268371951649	230.969146746549	223.938346509668	194.10622726677	159.46536309955	217.903621117402	323.771024437505	141.655928636879	214.735836371947	233.146534937536	335.019242540567	230.331649334503	222.490443485539	353.872152181447
