BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000094	66	78	46	58	121	30	57	44	29	21	35	11
AAEL000095	1	0	2	1	2	0	8	0	4	12	5	18
AAEL000096	5	4	1	4	10	13	9	4	6	14	5	3
AAEL000097	2	2	3	2	17	4	8	5	15	14	6	4
AAEL000098	0	1	1	11	0	3	0	0	6	0	1	5
AAEL000099	2425	2248	670	655	2057	1474	3304	3465	1636	1469	4099	3762
AAEL000100	8	29	106	284	55	125	11	13	69	26	10	46
AAEL000101	1156	903	379	335	1036	314	468	378	390	317	111	108
AAEL000102	1449	2412	4189	5904	8644	12869	19073	19340	19625	18701	37702	44825
AAEL000103	46	52	74	74	98	63	34	26	50	20	19	22
AAEL000104	19	11	7	6	24	21	12	7	5	0	4	10
AAEL000105	4526	3309	1053	1559	2465	2197	7868	5412	1648	1215	1563	1075
AAEL000106	74	87	213	473	275	315	121	157	208	131	98	166
AAEL000107	145	116	241	377	472	391	87	96	205	150	175	128
AAEL000108	1	5	0	0	5	0	4	1	0	0	4	0
AAEL000109	2321	2812	18159	50710	9815	24347	3004	3482	12545	2850	4006	6538
AAEL000111	1950	1778	3485	3374	5915	5692	4371	4131	6581	4827	4014	3653
AAEL000112	0	1	0	0	0	0	0	0	0	0	0	0
AAEL000113	1	0	0	0	3	10	0	0	0	2	0	0
AAEL000114	0	0	0	0	0	0	0	0	4	0	0	0
AAEL000115	43	97	240	554	304	518	175	235	229	156	225	207
AAEL000116	69	69	246	865	298	473	110	103	219	90	141	235
AAEL000117	0	0	0	0	2	0	0	0	0	0	0	0
AAEL000118	181	236	707	1891	879	846	322	471	824	532	568	741
AAEL000119	351	242	214	274	815	385	311	280	334	360	383	343
AAEL000120	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000121	88	82	200	120	505	119	35	56	72	82	69	122
AAEL000122	55	61	145	311	212	138	125	89	231	189	98	188
AAEL000123	0	5	3	1	6	0	1	1	3	2	0	5
AAEL000124	166	11	25	15	48	56	79	63	113	263	181	269
AAEL000125	0	0	0	0	0	0	7	15	20	18	30	25
AAEL000126	913	806	1164	1529	3410	1672	942	780	1238	1399	1314	1273
AAEL000127	37	39	71	32	112	59	76	53	30	72	45	45
AAEL000128	1336	1328	1598	4672	2470	2623	1321	1315	1753	1335	1891	1758
AAEL000129	2	1	13	6	13	0	0	3	3	0	0	6
AAEL000130	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000132	1	0	0	0	0	0	4	0	0	0	0	0
AAEL000133	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000134	113	118	221	157	516	224	90	99	206	207	130	235
AAEL000136	65	87	265	677	277	340	101	117	252	100	151	110
AAEL000137	129	165	164	160	352	224	200	213	164	175	320	232
AAEL000138	4258	4717	4052	4045	8208	6546	6572	6429	8571	7778	3112	3781
AAEL000139	0	0	0	0	0	0	0	0	0	27	0	0
AAEL000140	147	161	456	1014	702	901	225	223	480	382	335	414
AAEL000141	0	9	249	828	44	269	12	36	203	1	0	37
AAEL000143	518	466	524	658	1301	994	1102	966	1020	902	1219	1102
AAEL000144	0	0	0	0	0	0	0	0	0	4	0	0
AAEL000145	0	0	6	0	8	5	0	1	0	0	0	0
AAEL000146	221	362	150	240	686	116	87	62	81	260	119	62
AAEL000147	260	286	350	494	628	722	735	818	764	806	1790	1865
AAEL000148	35	47	124	237	238	130	61	58	99	57	60	143
AAEL000149	249	274	892	2015	893	1586	424	473	1005	438	521	830
AAEL000150	40	28	21	40	66	42	2	14	0	0	0	0
AAEL000151	0	0	1	2	10	0	0	1	3	4	1	3
AAEL000152	18	29	31	37	135	33	0	5	1	9	11	20
