BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL001421	27004	27491	16616	24375	50418	29339	49136	43697	22350	23006	28365	28990
AAEL001422	415	436	585	1050	1654	1906	797	458	1090	958	1356	1249
AAEL001423	184	338	868	2035	1117	1061	1020	841	773	575	429	590
AAEL001424	364	427	427	712	983	1227	806	936	914	680	474	579
AAEL001425	59	99	207	420	287	464	185	287	325	211	244	315
AAEL001426	62	122	237	529	412	366	168	171	192	183	165	168
AAEL001427	80	84	82	119	283	198	107	61	42	70	143	210
AAEL001428	0	5	0	6	2	13	0	6	4	0	0	11
AAEL001429	11058	19628	8654	8057	13725	15356	17681	14381	14941	11276	7339	6375
AAEL001430	7	0	7	3	6	22	5	4	17	6	8	8
AAEL001431	700	659	1172	2549	2005	2050	1240	1098	1305	1015	1128	1336
AAEL001432	30128	30011	8131	13185	17963	13133	52309	42088	9793	9919	17850	14858
AAEL001433	786	857	1233	1302	2965	1525	866	1163	1705	1649	1475	1828
AAEL001434	311	290	519	507	1267	481	163	166	411	555	383	358
AAEL001435	4	6	5	7	20	29	1	5	5	11	1	0
AAEL001436	305	336	1060	3205	1107	1329	89	74	555	237	161	159
AAEL001437	11	4	15	8	16	6	6	5	16	10	0	2
AAEL001438	81	76	72	66	277	131	122	107	136	168	139	156
AAEL001439	417	383	355	635	864	657	789	919	965	791	494	632
AAEL001440	2914	2897	9601	19434	11718	10008	2990	3427	6822	3925	3489	4400
AAEL001442	328	305	586	783	1207	521	259	249	495	369	378	569
AAEL001443	1	5	10	5	4	0	0	1	0	3	0	5
AAEL001444	9	11	37	44	99	26	1	3	20	14	43	48
AAEL001446	666	695	1287	1619	3210	1928	482	474	1804	1512	1564	1724
AAEL001447	3235	2951	2294	2586	5755	3723	2625	2697	2628	2133	2777	3103
AAEL001448	2196	2155	2068	3629	3415	3399	1695	1655	1755	1233	1732	1816
AAEL001449	34	53	49	109	133	118	88	67	45	30	47	41
AAEL001451	95	143	301	688	410	517	112	126	251	147	199	306
AAEL001452	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001453	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001455	212	171	772	988	876	1184	172	206	646	306	282	399
AAEL001456	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001457	56	71	74	64	230	38	92	104	251	113	158	172
AAEL001458	1	1	12	48	7	17	0	1	12	0	0	6
AAEL001459	201	211	318	764	439	383	247	208	247	139	196	182
AAEL001460	12	30	54	145	64	72	2	9	18	5	5	1
AAEL001461	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001463	3	2	2	9	2	17	10	2	23	3	5	5
AAEL001464	868	872	277	388	526	381	869	715	305	224	254	242
AAEL001465	293	183	425	388	1184	1346	703	603	654	706	1086	971
AAEL001466	161	113	124	150	290	170	153	134	215	164	100	134
AAEL001467	292	318	439	747	1266	462	143	133	200	551	153	167
AAEL001469	0	0	0	1	7	0	1	0	0	0	0	7
AAEL001470	188	168	436	782	693	792	219	298	426	232	306	438
AAEL001471	3654	4904	10085	8264	11940	14374	10846	9019	16702	14540	71774	56682
AAEL001472	266	266	773	1399	977	1062	746	713	845	559	533	721
AAEL001473	710	836	1367	2576	2378	1665	925	1009	1342	1016	1275	1477
AAEL001474	101	76	163	127	490	362	217	198	277	275	184	371
AAEL001475	64	73	83	89	270	103	40	39	50	50	57	69
AAEL001476	227	266	344	591	738	638	125	172	329	203	288	373
AAEL001477	175	237	191	164	496	146	164	218	197	183	280	254
AAEL001478	746	618	595	591	1575	592	725	784	608	432	447	470
AAEL001479	4422	5756	5621	7109	13795	12428	6614	6793	9199	8551	5499	6950
AAEL001480	5932	6100	927	1367	1948	1772	5276	3877	1329	1117	1991	1741
AAEL001481	26	35	66	148	127	164	161	133	174	118	605	610
AAEL001482	285	310	743	1579	887	956	260	279	573	273	310	397
AAEL001483	57	39	66	58	161	57	40	43	52	42	35	74
AAEL001484	6438	6538	12832	16246	33487	23995	8272	8830	22325	22266	24241	26709
AAEL001485	479	521	398	431	1581	810	1431	1335	1342	1092	1832	1581
AAEL001486	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001487	0	2	4	1	1	0	0	0	1	0	1	2
AAEL001488	0	1	0	0	0	0	0	0	0	0	0	0
AAEL001490	2977	4091	10879	11264	19569	18197	5936	6066	30877	27283	6342	8926
AAEL001491	0	2	19	62	16	68	0	0	18	3	5	0
AAEL001492	236	295	670	1376	525	601	528	413	507	293	175	358
AAEL001493	0	0	2	5	2	0	2	0	0	0	0	7
AAEL001494	3	10	28	18	49	25	8	5	9	6	8	11
AAEL001495	784	900	3110	7481	3287	4555	885	944	2484	947	1606	1783
AAEL001496	141	191	449	1072	568	841	409	322	642	301	398	371
AAEL001497	518	412	852	1712	1215	1094	626	576	771	547	469	626
AAEL001498	135	162	127	137	535	369	84	95	299	240	516	591
AAEL001500	94	83	91	115	304	121	35	23	56	46	47	66
AAEL001501	681	871	687	1093	1572	1431	2188	2636	2901	3330	2460	2837
AAEL001502	17	37	40	110	95	35	16	5	9	12	17	47
AAEL001503	1206	1311	1776	1383	4364	1775	349	377	579	1781	315	495
AAEL001504	276	336	427	361	743	811	372	394	607	661	524	948
AAEL001505	561	632	729	1273	1414	1018	606	690	945	716	791	1016
AAEL001506	241	305	1074	1998	1963	1602	879	982	1082	904	1096	1180
AAEL001507	540	557	807	1706	1425	1166	550	613	851	663	728	710
AAEL001508	819	542	623	255	1272	2004	1585	980	1820	3640	3876	2472
AAEL001509	1307	1448	1344	1196	3888	2055	736	686	1177	1726	1847	2189
AAEL001510	0	0	0	0	0	5	2	0	0	0	1	0
AAEL001511	979	894	1973	6389	1371	4538	522	567	1709	964	2040	2280
AAEL001512	59	53	81	256	113	181	126	153	338	209	556	468
AAEL001513	63	52	108	91	215	142	52	29	145	185	67	115
AAEL001514	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001515	292	215	596	1016	1173	910	836	1000	1008	611	483	695
AAEL001516	2149	1999	2096	3190	4353	2898	3142	2868	1976	1877	2360	2301
AAEL001517	43	48	54	36	214	48	15	47	65	52	30	64
AAEL001518	329	492	620	1065	937	762	355	526	677	497	491	670
AAEL001519	275	254	234	183	824	261	105	111	138	184	151	161
AAEL001520	260	291	1077	3405	811	1760	224	223	1104	291	311	443
AAEL001521	37	25	31	33	72	39	13	14	28	96	23	23
AAEL001522	3	1	8	3	1	0	3	4	0	2	2	0
AAEL001523	377	533	571	373	895	915	211	214	564	403	1599	1657
AAEL001524	16	12	16	46	25	13	0	7	19	23	3	4
AAEL001525	294	280	589	1020	1039	868	364	304	649	491	468	422
AAEL001526	551	628	1674	4538	1989	2109	294	418	757	495	473	646
AAEL001527	51	58	98	64	194	70	26	24	29	36	4	33
AAEL001528	163	194	258	189	383	431	59	74	231	143	587	595
AAEL001529	36	28	24	20	78	32	14	13	19	11	6	27
AAEL001530	7	17	60	74	73	51	1	19	21	19	4	29
AAEL001531	27	28	59	26	108	34	6	2	14	7	12	18
AAEL001532	1286	1166	1522	1513	3379	2134	589	623	1898	1393	2470	1758
AAEL001533	29	21	33	65	103	35	3	11	12	7	0	0
AAEL001534	0	0	3	0	0	0	0	0	0	0	0	0
AAEL001535	9	8	23	18	43	0	4	6	3	5	9	10
AAEL001536	1	10	33	37	43	25	0	1	2	5	3	1
AAEL001537	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001538	144	129	227	169	658	219	25	27	77	218	54	115
AAEL001539	284	326	326	646	607	541	292	343	460	539	316	329
AAEL001540	1110	1269	2415	5111	3571	3242	994	1094	2033	1464	1388	1806
AAEL001541	121	195	148	264	360	231	329	275	252	239	148	230
AAEL001542	46	32	42	29	87	42	51	60	76	74	37	79
AAEL001543	102	53	90	75	251	99	64	82	61	184	152	119
AAEL001544	0	1	0	4	6	4	41	17	21	24	29	30
AAEL001545	101	103	110	178	426	223	93	118	156	185	154	242
AAEL001546	204	217	313	658	531	313	152	105	191	140	110	92
AAEL001547	0	1	4	2	0	5	0	0	11	0	1	7
AAEL001548	1228	1388	767	692	2381	1012	834	544	400	759	1608	1665
AAEL001549	2061	2263	3648	5876	7127	4916	1550	1373	2513	2204	2045	2351
AAEL001550	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001551	53	69	132	264	137	116	98	149	202	129	132	146
AAEL001552	1	1	1	0	7	14	2	4	5	0	0	0
AAEL001553	1	1	0	0	2	0	0	0	0	0	1	0
AAEL001554	160	157	530	1329	755	1019	210	212	496	290	323	296
AAEL001555	0	0	0	0	1	0	0	0	0	0	0	0
AAEL001556	50	49	54	48	142	84	74	36	65	56	44	57
AAEL001557	1102	1164	1358	2628	2615	1956	688	761	1033	749	1157	1127
AAEL001558	12	7	25	53	39	36	7	2	3	3	2	4
AAEL001559	0	17	359	1289	66	618	0	36	194	0	0	32
AAEL001560	16	10	32	19	53	2	5	14	2	10	21	17
AAEL001561	465	403	237	452	803	556	947	674	767	789	911	1164
AAEL001562	371	418	531	925	1014	896	497	481	676	772	679	891
AAEL001563	27	26	23	25	98	42	35	39	58	41	74	106
AAEL001564	345	364	729	1161	2231	2194	311	380	1117	818	938	916
AAEL001565	237	219	187	145	421	340	462	336	211	342	398	455
AAEL001566	343	375	235	350	838	434	469	411	455	392	1020	799
AAEL001567	711	943	1208	2035	2623	1713	1019	951	1419	1171	1583	1675
AAEL001568	13	18	24	32	39	36	13	18	36	22	5	50
AAEL001569	516	553	568	984	1474	1170	741	777	1035	976	1077	1387
AAEL001570	468	431	535	507	1347	609	273	338	429	412	431	552
AAEL001571	0	0	0	1	1	0	0	0	0	2	2	6
AAEL001572	14	28	46	91	62	49	10	19	53	24	36	29
AAEL001573	477	579	394	572	801	938	1101	1105	1209	1174	1160	1292
AAEL001574	550	637	1358	3364	1713	2219	510	499	1443	733	1074	1425
AAEL001575	0	2	0	1	5	0	2	109	2	0	4	0
AAEL001576	594	591	503	498	1655	908	865	839	785	974	1098	1231
AAEL001577	34259	42384	16329	20164	53498	16340	7854	4431	5300	12140	2917	3835
AAEL001578	30	29	55	58	111	28	39	29	56	42	44	40
AAEL001579	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001580	102	125	327	910	294	546	283	252	330	125	383	432
AAEL001581	617	824	1110	1767	1602	1336	449	435	619	539	610	518
AAEL001582	211	249	513	458	816	453	129	129	226	216	315	303
AAEL001583	1872	1532	2982	4366	5513	3404	1358	1293	2457	2295	2027	1990
AAEL001584	40	35	34	46	137	61	23	50	39	25	18	38
AAEL001585	25	17	49	51	119	42	25	18	57	26	74	37
AAEL001586	914	845	548	569	1847	1047	828	696	657	777	1703	1618
AAEL001587	151	128	693	1564	789	721	257	182	482	252	270	408
AAEL001588	775	956	1770	4203	1627	2589	850	1013	1593	701	1155	1166
AAEL001589	0	0	0	12	1	0	9	1	0	0	0	0
AAEL001590	41	79	86	183	211	139	60	60	159	45	49	68
AAEL001591	23	30	51	111	126	76	56	50	49	43	51	74
AAEL001592	280	297	350	341	1046	457	241	299	352	354	342	444
AAEL001593	14190	18218	10380	24157	11271	16239	22755	23088	25006	15948	8097	10825
AAEL001594	620	604	619	698	1804	586	406	430	1138	928	555	496
AAEL001595	167	169	320	413	590	372	203	213	486	329	354	323
AAEL001596	566	473	347	448	668	465	816	608	594	440	471	540
AAEL001597	15	22	27	49	35	50	77	94	64	52	67	129
AAEL001598	132	148	799	2159	719	999	260	305	656	350	293	402
AAEL001599	336	301	603	576	1188	887	442	394	588	811	444	501
AAEL001600	73	84	200	430	325	334	127	116	238	144	130	224
AAEL001601	188	245	418	662	750	914	297	320	357	342	282	440
AAEL001602	7	2	8	9	17	21	8	2	12	4	18	38
AAEL001603	123	133	232	231	599	226	116	182	208	159	214	323
AAEL001604	764	613	1198	2002	2646	1438	333	440	928	769	670	755
AAEL001605	1336	1438	3790	7839	5238	4257	1900	1907	4208	2917	2450	3139
AAEL001606	893	1185	1273	2380	2676	2204	438	331	919	916	1073	1353
AAEL001607	6015	4079	1954	2191	5810	2315	10638	8874	3819	2335	2387	2046
AAEL001608	25	17	56	53	230	109	43	20	92	71	115	81
AAEL001609	0	0	8	26	0	6	0	0	0	0	0	0
AAEL001610	66	48	156	344	350	322	44	80	96	85	119	96
AAEL001611	114	24	21	48	152	49	135	146	12	71	9	4
AAEL001612	102	77	488	1291	385	639	69	142	250	110	94	182
AAEL001613	10	0	9	5	15	25	5	10	14	14	6	1
AAEL001614	447	435	246	314	800	426	394	331	158	149	181	256
AAEL001615	205	258	225	257	579	401	809	832	631	500	331	495
AAEL001616	2169	2034	2762	3132	6442	3720	2488	2410	3200	2987	3794	3878
AAEL001617	0	0	1	0	0	0	0	0	1	0	0	0
AAEL001618	337	370	721	1581	1325	965	426	465	831	645	601	778
AAEL001619	149	210	334	647	725	862	746	630	875	697	706	730
AAEL001620	0	0	0	0	0	0	0	1	0	0	0	0
AAEL001621	151	37	17	16	42	35	97	113	7	1	3	0
AAEL001622	654	707	923	1849	1477	1399	987	1075	1150	636	619	661
AAEL001623	1355	1644	3869	5428	9015	8563	2653	2810	6011	4830	4529	6027
AAEL001624	24	63	134	342	237	327	70	60	128	71	51	64
AAEL001625	651	802	400	374	1153	910	807	792	628	690	308	396
AAEL001626	874	1342	1826	3393	3095	2650	329	283	1238	1210	516	1017
AAEL001627	1789	1212	341	671	528	586	3093	2828	406	315	348	245
AAEL001628	45	30	70	52	161	78	5	23	39	25	18	32
AAEL001629	375	418	1091	544	1548	1116	220	366	600	475	484	520
AAEL001630	0	3	3	3	3	0	2	0	3	1	0	5
AAEL001631	60	75	181	361	194	266	113	67	173	68	101	120
AAEL001632	7	5	12	9	66	44	0	20	13	19	36	12
AAEL001633	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001634	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001635	51	63	674	2132	228	833	25	94	528	35	66	146
AAEL001636	8537	9997	9214	13961	23803	15653	11528	11907	16996	13902	10953	13140
AAEL001637	0	0	0	1	0	6	0	0	0	0	0	0
AAEL001638	237	278	564	998	870	998	441	550	723	433	457	595
AAEL001639	87	42	40	117	216	144	50	59	128	94	82	137
AAEL001640	1	8	0	4	2	0	2	6	0	5	2	0
AAEL001641	4184	3821	1761	1612	6751	4300	5631	3738	6278	5037	9792	7942
AAEL001642	195	228	447	1175	722	1028	286	247	614	346	391	455
AAEL001643	2	3	3	13	8	18	5	4	0	12	2	3
AAEL001644	54	36	51	71	131	107	55	84	174	150	72	27
AAEL001645	204	202	255	377	559	384	390	349	476	430	317	310
AAEL001646	116	111	102	80	225	59	30	25	42	133	17	14
AAEL001647	1628	1825	2428	2356	5681	4097	666	951	1592	1659	1479	1478
AAEL001648	598	552	903	1366	1690	1131	335	329	676	464	411	433
AAEL001649	974	1112	1045	1885	1997	1791	2218	1854	1493	1485	1760	1773
AAEL001650	2	8	8	2	0	18	18	100	27	5	85	79
AAEL001651	131	137	1029	2637	612	1366	113	136	866	228	213	349
AAEL001652	14	23	37	24	57	6	2	20	32	37	25	37
AAEL001653	205	240	314	548	716	560	407	528	862	631	512	635
AAEL001654	0	0	0	0	0	0	0	12	0	0	0	0
AAEL001655	184	207	1123	2607	826	1331	212	296	1193	361	337	485
AAEL001656	301	251	709	1729	1083	773	330	396	468	669	297	533
AAEL001657	372	317	590	1137	1235	880	491	591	1175	942	695	717
AAEL001658	12	7	19	13	24	17	4	9	12	10	8	26
AAEL001659	717	662	704	824	1992	1237	512	509	657	604	642	742
AAEL001660	5	2	5	4	3	9	0	0	0	0	2	8
AAEL001661	7	2	1	0	5	0	0	0	0	0	3	0
AAEL001662	291	288	433	669	798	374	122	126	272	233	147	180
AAEL001663	8	20	5	1	34	1	0	2	0	0	0	2
AAEL001664	181	138	154	321	335	232	80	100	76	97	95	92
AAEL001665	0	0	0	0	0	0	0	0	0	0	0	1
AAEL001666	0	214	9402	31875	1078	13088	8	345	7800	2	10	1505
AAEL001667	447	325	96	82	357	83	101	349	277	1234	63	73
AAEL001668	25864	35201	17340	26659	49816	24067	41567	37989	53740	45516	18404	17293
AAEL001669	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001670	1034	890	663	1015	1534	1009	1529	1334	856	845	652	832
AAEL001671	26	17	19	23	65	46	10	16	68	75	52	52
AAEL001672	5	8	14	21	47	30	2	7	11	2	26	0
AAEL001673	12158	16255	15150	18180	39676	16291	9588	10873	14970	14508	11138	12414
AAEL001674	4731	4039	4	0	1	6	1036	620	1	5	0	0
AAEL001675	37	35	9	18	13	38	10	13	22	15	17	23
AAEL001676	16	14	39	31	109	34	4	11	45	16	22	30
AAEL001677	6	2	0	0	0	0	6	7	4	0	5	0
AAEL001678	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001679	2501	3124	2	1	1	0	182	92	0	0	0	0
AAEL001680	46	47	67	57	149	86	31	26	48	37	52	44
AAEL001681	28	63	358	882	172	455	22	46	296	30	81	161
AAEL001682	317	329	503	1075	1075	790	989	1132	773	698	1321	1372
AAEL001683	7	2	5	3	0	4	4	10	0	0	8	0
AAEL001684	93	99	499	1445	472	806	84	64	270	78	52	167
AAEL001685	0	0	2	0	12	0	0	0	3	0	3	5
AAEL001686	1	0	3	3	6	21	2	1	1	3	0	3
AAEL001687	14	9	43	44	86	48	6	2	23	62	12	16
AAEL001688	244	310	900	2454	1091	1478	368	383	858	516	407	538
AAEL001689	0	2	5	0	4	8	3	2	7	0	0	6
AAEL001690	43991	42075	2	4	11	10	7929	3045	5	153	1	5
AAEL001691	197	230	541	1315	692	1003	272	249	744	504	470	517
AAEL001692	0	1	0	0	0	0	0	0	0	0	0	0
AAEL001693	58	3	0	1	0	5	1	161	0	59	0	0
AAEL001694	5	2	3	2	11	10	0	1	11	3	0	2
AAEL001695	4	1	35	8	42	5	9	3	26	20	14	13
AAEL001696	1	0	0	0	0	0	0	7	2	2	4	0
AAEL001697	4	2	11	6	21	0	0	13	10	0	23	0
AAEL001698	1469	1732	1577	1993	2974	2977	3262	3150	3090	2942	4152	4467
AAEL001699	781	833	759	699	1849	1085	601	632	1272	1005	1021	996
AAEL001700	18	32	190	768	152	458	26	32	226	49	39	84
AAEL001701	14	0	0	1	1	0	0	53	0	58	0	0
AAEL001702	2	0	0	1	2	0	1	0	0	0	0	2
AAEL001703	4455	3513	2734	325	670	964	751	212	771	127496	31	1029
AAEL001704	0	0	0	0	0	0	0	3	0	0	1	0
AAEL001705	410	318	274	703	362	527	500	695	330	293	769	589
AAEL001706	73	109	298	711	320	569	339	368	434	330	347	525
AAEL001707	1330	1366	395	503	1158	541	1243	839	381	515	336	332
AAEL001708	116	181	26	52	146	101	651	686	107	115	108	121
AAEL001709	1112	1025	1472	2907	2493	2160	1307	1148	1352	1246	1333	1634
AAEL001710	10	14	318	639	108	355	4	4	58	8	8	21
AAEL001711	14	10	169	657	87	225	10	18	103	13	13	31
AAEL001712	4	5	4	1	4	3	12	0	5	2	2	1
AAEL001713	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001714	0	0	1	0	0	0	0	0	0	7	0	1
AAEL001715	2330	3496	5783	10987	14495	9968	5933	5979	5691	5909	7141	8462
AAEL001716	677	703	1932	3922	2750	2189	825	865	1541	1033	1132	1217
AAEL001717	90	82	194	403	293	300	137	168	291	198	197	228
AAEL001718	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001719	150	149	432	760	710	669	173	198	390	319	281	437
AAEL001720	5	6	190	375	69	138	5	20	94	23	15	41
AAEL001722	107	188	198	153	362	247	84	139	168	99	149	173
AAEL001724	159	121	111	142	535	238	104	70	145	113	134	143
AAEL001725	1073	1192	1148	1769	2901	2351	1127	1004	1871	1434	1236	1580
AAEL001726	9	8	14	8	34	29	37	11	21	4	12	11
AAEL001727	3	11	97	162	27	98	0	1	2	12	0	5
AAEL001728	0	4	1	0	3	0	0	0	2	0	0	0
AAEL001729	125	181	435	1035	671	695	136	232	471	366	261	474
AAEL001730	1	9	3	9	38	8	10	20	11	8	3	0
AAEL001731	224	312	1645	4297	894	1805	215	295	818	147	354	502
AAEL001732	0	1	3	1	0	0	0	0	2	0	0	0
AAEL001733	70	20	39	55	74	60	83	57	40	37	96	118
AAEL001734	32	41	104	127	124	90	14	14	34	18	34	41
AAEL001735	0	1	3	9	2	10	0	0	3	1	0	0
AAEL001736	0	0	0	1	0	0	0	0	0	0	0	0
AAEL001737	34	10	57	40	256	63	21	44	30	37	2	29
AAEL001738	471	468	428	421	1147	654	345	384	503	277	377	532
AAEL001739	26	28	77	78	170	60	8	10	17	20	7	7
AAEL001740	310	387	385	617	907	559	484	612	458	422	511	460
AAEL001741	8	7	2	2	27	9	4	1	4	0	0	6
AAEL001742	1897	1923	3207	5428	5424	4472	2311	2284	3007	2563	3110	3346
AAEL001743	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001744	157	111	219	125	545	130	174	174	255	249	233	379
AAEL001745	4	1	0	4	11	0	0	1	7	4	0	5
AAEL001746	2444	2498	4089	4666	11907	5792	1145	1337	3604	3538	3101	3670
AAEL001747	4	8	15	9	99	14	9	10	14	10	3	10
AAEL001748	49	50	256	679	237	337	54	63	162	74	87	95
AAEL001749	39	61	261	584	301	455	16	20	149	42	40	88
AAEL001751	143	186	688	1087	1045	1550	331	390	856	687	2935	2918
AAEL001752	1902	1887	1790	2532	4654	2889	2210	2023	2524	2100	2994	3102
AAEL001753	69	43	71	72	91	124	56	41	62	27	50	36
AAEL001754	0	3	5	3	3	2	34	8	60	9	83	47
AAEL001755	1	4	9	12	4	0	0	0	4	0	0	6
AAEL001756	140	175	399	711	656	803	193	204	509	312	279	402
AAEL001757	54	100	90	96	236	130	91	93	105	116	181	182
AAEL001759	44787	46436	33707	42351	131148	77045	49064	45905	47514	50580	42989	55657
AAEL001760	4058	4884	5054	6336	13667	6376	2697	2547	3300	4143	4680	4517
AAEL001761	154	138	409	774	595	766	350	380	750	461	389	542
AAEL001762	0	0	0	0	0	0	0	0	0	1	0	0
AAEL001763	567	600	433	922	1091	836	466	185	161	166	695	528
AAEL001764	55	89	322	569	621	451	252	259	750	453	340	479
AAEL001765	567	606	751	1075	1766	1112	594	617	913	872	730	919
AAEL001766	1875	1983	1054	672	2714	982	2137	2160	1696	1499	863	1114
AAEL001767	5236	4127	675	789	1856	1249	10397	8093	1073	1879	1375	1207
AAEL001768	114	79	52	91	61	96	161	34	31	27	82	58
AAEL001769	3637	3391	5426	8126	12174	6987	4493	4351	7436	6446	4718	6259
AAEL001771	137	72	41	43	342	111	77	89	262	253	315	140
AAEL001772	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001773	41	24	48	97	87	95	40	63	68	63	108	29
AAEL001774	0	0	0	0	0	0	10	0	0	2	0	4
AAEL001775	55	61	85	100	198	171	127	113	130	88	112	134
AAEL001776	6	10	14	7	20	18	0	5	8	12	13	16
AAEL001777	152	176	221	275	507	300	116	149	158	150	207	144
AAEL001778	110	189	174	342	435	346	457	444	417	355	368	377
AAEL001779	3813	4110	5829	6148	14017	9193	4932	5333	9945	9162	9567	9872
AAEL001780	9	8	57	46	21	53	3	10	15	4	15	26
AAEL001781	4	5	87	337	28	106	28	30	125	17	15	39
AAEL001782	410	343	444	570	1102	681	425	463	620	529	586	685
AAEL001783	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001784	67	68	99	181	194	237	89	85	80	114	192	161
AAEL001785	0	0	1	5	3	0	0	0	0	0	0	0
AAEL001786	20	34	33	20	57	35	69	105	98	108	89	58
AAEL001787	241	270	553	673	1003	680	306	389	1059	1095	601	914
AAEL001788	131	141	128	167	270	209	27	28	40	150	26	48
AAEL001789	49	47	74	103	137	81	56	116	185	105	124	140
AAEL001790	0	0	3	1	0	2	1	0	0	0	9	0
AAEL001791	1109	886	1575	3180	2667	1806	724	741	1258	802	564	771
AAEL001792	1	0	0	0	0	0	0	11	0	0	0	0
AAEL001793	7422	5284	367	678	489	464	6373	6782	284	211	431	206
AAEL001794	3418	3115	3043	1124	5678	8825	9376	7593	8131	13080	19047	11313
AAEL001795	350	246	379	451	1134	802	650	530	572	575	599	724
AAEL001796	445	563	462	503	1138	813	546	683	605	766	600	740
AAEL001797	403	472	410	439	841	827	1121	1093	1154	1085	928	976
AAEL001798	4394	4877	8723	11200	17366	13816	4355	4507	12820	11077	9844	10886
AAEL001799	179	106	275	181	680	194	212	172	382	233	252	333
AAEL001800	181	194	669	985	1188	1391	364	483	1333	1234	1097	1262
AAEL001801	21	22	18	9	29	22	15	10	10	3	0	15
AAEL001802	8	2	41	106	15	46	16	13	18	19	36	19
AAEL001803	2271	2850	2957	2713	8062	4089	2723	2665	2681	2281	2955	3182
AAEL001805	75	57	50	130	126	153	108	99	148	81	150	91
AAEL001806	5062	2775	137	183	379	293	6962	8212	220	295	303	300
AAEL001807	8	14	20	26	28	27	4	44	0	71	3	0
AAEL001808	2454	2547	2059	4134	2843	2332	2016	2021	2005	1268	1336	1493
AAEL001809	62	42	80	143	138	81	39	30	107	61	32	73
AAEL001810	1139	1289	3279	4986	6157	7483	1516	1519	4288	3465	4734	5373
AAEL001811	89	113	260	607	683	622	129	183	412	246	253	295
AAEL001812	182	217	708	357	1309	960	152	211	458	427	236	291
AAEL001813	2	11	30	42	139	66	27	49	52	62	56	117
AAEL001814	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001815	1088	797	862	1339	1968	1102	1081	842	895	748	1077	1124
AAEL001816	956	1395	1126	1202	3774	1449	353	178	527	761	363	670
AAEL001817	158	228	172	186	653	376	305	286	271	311	385	363
AAEL001818	299	408	4937	1667	3167	6633	346	909	2754	2477	4549	5570
AAEL001819	208	227	490	932	449	585	169	191	301	150	203	253
AAEL001820	27	39	38	41	88	119	10	15	36	69	57	81
AAEL001821	2	1	4	2	11	2	0	0	2	2	10	3
AAEL001822	5	3	0	0	0	0	4	7	0	0	10	0
AAEL001823	2	4	8	39	12	6	16	2	15	0	1	4
AAEL001826	2	0	0	0	0	0	0	0	0	0	0	0
AAEL001827	114	163	324	672	455	592	328	290	712	818	417	492
AAEL001828	24	22	12	45	19	46	19	13	36	32	34	73
AAEL001829	149	142	149	108	509	155	20	23	19	86	40	37
AAEL001830	2267	2451	910	1634	2121	1561	2100	2437	1116	998	1097	1294
AAEL001831	190	247	431	827	1077	1032	508	500	580	575	553	651
AAEL001832	450	371	560	1031	817	796	236	270	412	271	330	303
AAEL001833	240	218	219	437	526	413	210	120	175	152	203	125
AAEL001834	894	1111	1769	2672	3098	2976	781	781	2230	1866	2204	2034
AAEL001835	14	11	15	16	75	13	19	59	30	63	39	35
AAEL001836	7	0	9	0	1	15	6	2	0	7	0	7
AAEL001837	1	0	0	0	2	0	0	1	2	70	0	1
AAEL001838	414	421	714	1062	1274	1219	1263	1206	1346	1235	1151	1221
AAEL001839	12	2	4	4	26	23	3	3	11	39	22	28
AAEL001840	1566	1375	495	494	1742	669	1090	1088	622	746	605	421
AAEL001841	0	0	0	0	0	0	0	0	0	0	0	0
AAEL001842	0	0	7	8	29	26	0	10	7	9	4	9
AAEL001843	98	141	245	432	310	268	68	75	107	100	48	98
AAEL001844	1149	1209	200	197	571	231	753	550	195	198	428	290
AAEL001845	494	559	728	1599	1161	1303	1052	938	998	601	1073	1227
AAEL001846	2	1	3	5	7	0	0	1	0	1	5	1
AAEL001847	1335	1560	2747	3461	6869	5561	1873	2311	4537	4080	2474	3427
AAEL001848	454	522	1423	2660	2184	1605	437	474	1191	742	642	726
AAEL001849	0	0	0	1	0	0	0	0	0	0	0	0
AAEL001850	59	75	78	105	278	98	81	80	125	198	158	147
