BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000042	8.40233317179581	10.0960395061012	19.0403721467926	29.6992210264633	17.3935207813813	25.3165833350208	19.8456459580621	21.3620905965419	29.4531382763794	26.3483332614363	40.0433289818117	46.6513641203038	magenta	FALSE
AAEL000044	1.73569323736627	1.7312055472417	13.8110914743872	10.8729542525867	13.6622024015734	12.2819530478443	3.72488532619965	3.01059587641801	8.39296730324341	10.0065786498332	27.0105956127477	21.2110690072534	magenta	FALSE
AAEL000045	13.4077391442846	11.1406059278512	9.81297644292493	11.4711850688937	14.061434477871	12.3520362239227	10.621158962256	13.26949181062	10.4247222300131	6.0511418348442	24.9529254719225	23.7959454792019	magenta	FALSE
AAEL000049	42.2794491771421	35.8511919789836	12.620437418611	8.21650126832576	11.9158440841143	10.7436988773004	34.5807951470766	29.976780246291	8.28471033044339	11.4462278231325	29.3491833363702	27.5121916745394	brown	FALSE
AAEL000053	0.455977379588693	0.684591329311798	7.06618387589847	21.7651159568633	0.83034592000518	7.16004229379623	0.417571109938874	0.491521147964117	3.07580756234277	0.482654670942067	0.956429346718302	1.28153158832126	turquoise	FALSE
AAEL000054	4.3768006404923	4.12819843467239	15.9676783771261	18.51081256139	7.61518465741546	8.3416910182575	1.78425916299968	2.4415333544569	5.25895991838873	3.1022853305248	2.53558346525069	3.45715087648526	turquoise	FALSE
AAEL000059	35.5899931770357	43.5190541078296	40.1436054339312	24.5775321575564	47.2120569704463	98.8659212779669	45.3458129823124	50.1737787663359	89.1727992709687	67.7059251045662	430.572538391614	293.484089717763	magenta	FALSE
AAEL000062	1.73236284901722	1.76614181325778	4.16576736607345	2.8042366016697	3.42970843542719	2.25498070766436	0.960378848898888	1.03029064444763	3.52678189298489	3.34755458092914	1.77118733308914	2.11771341344327	brown	TRUE
AAEL000065	2.54780425209292	1.97833587391756	9.67623619817908	18.1866600833564	3.48669478801445	7.64404493913152	1.47824912375404	1.91664179251018	5.15286518168391	2.0049287281014	2.52077177506246	3.92658131205022	turquoise	FALSE
AAEL000068	658.572746832401	677.873592389421	391.665243777326	397.541652544136	834.023633679702	845.717197780064	774.155527185338	910.381604563101	860.57303712539	833.381199014833	794.545992177924	1261.53122643777	turquoise	TRUE
AAEL000070	6.35612313893904	7.02081897333632	16.9566661416955	27.8634530115516	9.4871422246108	10.435344016031	4.27794906909732	4.10329713119571	8.30654524880207	4.45732286027827	7.02904107600643	9.8256447928523	turquoise	FALSE
