BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000001	7.90559146226826	9.02276136812269	37.3187396676804	31.6074728621894	20.21956854975	28.9364987193238	24.9841169842924	33.5769534087794	28.412663654116	23.8487297534913	32.03129902437	33.8952648829098
AAEL000002	3.39488208961447	5.64588373684182	7.79403870586382	51.7577333682793	4.05923156491192	33.6797152989892	1.93444932823535	0.585522498820554	8.06761720364653	3.04390771086102	13.614176540695	17.6949033313064
AAEL000003	25.7891009534717	31.8683566493308	41.0689609515001	59.5859192187685	37.0103850328337	54.3045901286157	51.240263142555	61.3178855358251	82.7600495093374	71.6292711558445	87.687857764833	92.0676050061762
AAEL000004	8.54939851319247	7.31922617459891	19.4478090648999	29.410897200273	9.64788188706986	14.3880847110717	20.0481052900563	19.7055308179491	16.7753720617247	12.5805380535236	15.9277652201821	16.9540226234955
AAEL000005	3.60478647118054	3.35502633731097	19.6857871146173	34.6112373008111	5.890477959732	19.5646450443015	2.41653606934132	5.23437719667223	12.0465494660522	3.16873673370391	3.68635423245178	4.51032874159691
AAEL000006	127.730045266692	93.6382152270353	23.1937259660397	45.9132983854563	11.3925071095116	20.5934806369746	70.7746919393846	76.1543045371008	8.94880188020302	2.10111695876756	7.76678318812796	4.82183615996827
AAEL000007	0	0	0.0431790616609132	0.161999108547914	0	0.234699370689074	0	0	0.195539267002205	0	0	0
AAEL000008	33.5231106946558	27.8180715879384	42.4405202553061	60.1859021581936	31.2128700912293	35.8293456170646	19.0345390031244	21.6817569329801	27.8661872831957	21.6462600680009	26.749197320474	28.4449322799638
AAEL000009	0	0	0.101394196042118	0.0760821043298612	0	0	0	0.15234356736724	0	0	0	0
AAEL000010	418.902024247243	340.21942927957	349.645281245302	353.047372255442	577.541120997283	502.789638954314	842.489668116731	849.196441506262	827.003653878687	841.210128143198	938.973020763653	1220.68294351387
AAEL000011	0	0	0	0.0540854566978275	0.0906133928549006	0	0	0	0	0	0.133940540563548	0.216585966813117
AAEL000012	0	0	0	0.305648091828937	0.0627030620886691	0.50607273052353	0	0	0	0	0	0.271993789561604
AAEL000013	6.4303060756227	5.94109334399695	11.0033487612195	15.5840832275377	6.86693534510455	13.033289753142	8.68063816199727	5.16637498959312	10.1141818619245	7.69929597453083	9.5077728532013	8.90867970486188
AAEL000014	0.337189191745004	0.389420122305368	0.48382858783579	1.29244164639006	0.208538400625973	0.284023324213121	0.0686196149970616	0.130850400413623	0.175284008092772	0.0881794182604586	0.201391209573703	0.684910944240581
AAEL000015	20.1277273396653	19.5181389539274	28.3429034027295	37.0846257774094	18.711362328762	19.2903370116166	10.609603337791	11.1520431958951	12.6836728454781	10.6978067480103	13.1383835227898	13.1410500355979
AAEL000016	11.7855356211937	10.6989784574811	32.0914180843274	40.1335039231565	25.0873609149381	36.5966417696939	24.3745685998095	21.8630877999968	34.6528213718556	23.3971315940342	26.7181204255608	31.8279076110331
AAEL000017	0	0.295736767167905	0.826724819871984	0.206780290696516	0.329937540990378	0	0.651396202364963	0.207024026368696	1.01025295786734	0.478328354563875	0.136555570165026	0.0613373749929739
AAEL000018	0	0	0	0	0	0	0	0	0.0261626737146556	0	0.0901782067127532	0
AAEL000019	320.953987823552	255.692410316251	218.62278569948	283.102709704049	810.718958829222	385.118355944357	584.267182915839	632.672884908009	869.186952637632	663.664432215669	2122.71943130448	2959.926207465
AAEL000020	17.316011654185	15.8912495220928	15.47488597824	21.081293536985	17.1444308125415	15.8655638420119	14.6631717752279	17.8590436025112	17.3644162296847	13.528654136083	19.0186212140627	24.9243532492196
AAEL000021	0.195497814952108	0.301040819705575	0	0.0561303745952732	0.0403025983177776	0	1.00788011534123	0.337179218903935	0	0.0730360793444599	0	0
AAEL000022	12.1935122033868	12.3353808854305	22.5901845154457	25.5923253009005	18.7098450339802	23.5946968951176	17.6527622969261	15.5065987144589	27.2803094937313	26.6979712481318	26.5366197544574	34.9601910924362
AAEL000023	0.0262880975261504	0	0.72423292785031	1.15479958981081	0.0650326635350608	0.606886495525651	0	0.045339638156617	0.449011643838071	0	0	0.362698908836044
AAEL000024	40.7457221785753	17.2779076936147	19.0874751684529	16.7568835431991	32.1234773616252	27.9507214033446	31.3272730034357	30.7910156667779	21.2686586686182	41.601494102959	32.8364949869847	31.9538924805724
AAEL000025	0.478693643970376	0.698328947960196	0	0	0	0	0.779331588436643	0.738706420925781	0	0	0	0
AAEL000026	3.41645059081913	3.55109587005934	19.9030236177567	25.3811640168785	5.74015859115661	21.8497062163614	8.96890628821695	9.72250065385896	15.0326002580335	7.08375727120961	8.08922577013155	9.82021505605427
AAEL000027	0	0	0	0	0.0157380769126586	0	0	0	0	0	0	0
AAEL000028	375.16533346685	375.023550035069	309.635901314772	239.196756470353	310.308529598565	426.455674677768	341.719217696846	320.174348218694	333.614306864429	320.763304985431	673.651574978841	547.453814028199
AAEL000029	0.033575756930253	0.0620426784268332	0.0770838992887631	0.0578406407542701	0.235340064202927	0.125696635990422	0	0	0.0748027694019424	0	0	0
AAEL000031	0	0	0	0.0312289543662483	0	0	0	0	0	0	0.0309349188076111	0
AAEL000032	1491.66126543999	1444.22536265434	1511.01767590203	1520.28666220959	1965.74669675815	1550.35093454559	1315.61654975135	1251.41226591672	1408.11434333334	1481.64445993595	1400.62017806951	1551.35013643994
