agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b	invert	module
gene443	1931.11693229697	1189.85766484285	1258.00405824226	1442.72903096836	1119.74255014755	1019.48732668259	1109.113288181	622.410130258635	844.675577734163	682.475742532386	1047.92459326071	973.230524455812	1268.41007092723	818.867298439262	877.867129120294	882.310636383902	837.4688521478	756.580778873412	940.298933798771	802.479666256758	690.121923848027	343.09717980945	86.4640167394682	705.817864261035	692.763508812393	696.392489081329	611.721024669441	696.827904495901	610.765638868981	714.146634350087	721.585964653939	1224.17822890771	602.170647226157	1050.18076712642	836.121892513042	FALSE	blue
gene455	1673.4435241102	1236.10305151166	1802.22298322364	1111.61261625854	584.259016505873	842.488973156673	591.376637926036	654.70331911278	556.22817578575	787.917954317542	704.699520251749	695.79676376231	809.009378169522	712.684094920565	730.157929389603	586.135618582278	516.590886058069	378.779965223842	521.564225718954	298.526988785455	459.049491032398	555.647382216958	727.508811609824	745.301194724742	729.751287004872	473.290517589327	717.850133345753	293.424456074156	309.859516458314	348.035958593069	297.473704531078	779.379521432649	836.541468021703	888.593587763556	668.99141299538	FALSE	blue
gene464	2577.52105407686	1545.50749004929	1327.53936895006	862.647933692666	1069.33795796725	1407.8751566313	573.590125593411	637.119700115482	543.986491323957	442.880888684826	739.989521686368	820.732643433471	753.121123099578	715.948325610148	710.881506214095	793.729101787663	530.961507881542	574.007238850925	922.979524258321	735.033879786982	823.145966195854	393.574718292979	281.032403605395	499.587884876114	772.614524167495	278.056443978205	746.843519689632	537.202734942349	1127.61226435328	850.374270774176	622.829324947557	876.606110482773	838.53395486202	731.487870803999	702.455801601427	FALSE	blue
gene507	3712.56638393902	1962.05025816487	2192.25444627352	2375.9715413846	1755.37276689262	2042.55982005191	883.311220735017	861.511076254442	883.084042578648	1312.14722321897	1433.76315044698	1318.34959102684	1689.52519417279	1373.48894774755	1352.6820091695	1227.1225190602	542.292386186874	464.244934596921	684.920058336216	604.100394894878	680.253628953016	1099.81059998313	949.694078870015	1052.8293380572	930.907412244935	1071.09220761319	855.866839989472	642.400487212372	859.031917325943	523.373914176244	570.09890031217	775.248990679776	1140.56557755957	531.685468654412	954.784428502615	FALSE	blue
gene547	840.213901293183	914.35895329587	557.426006329559	151.181722377354	165.556226344214	217.66666654704	117.964225852322	63.389985912971	71.7905148536512	35.533226929643	129.326271233369	102.786384475703	78.013313224575	169.110691458391	99.4539119696927	128.783541347522	95.5255448106286	134.407045900289	144.222103394633	118.997354413536	77.6397157672852	58.385585509921	8.24259764776827	102.273321519087	113.876200368095	0	144.199673336019	0	0	0	345.719518093118	218.301881362505	91.4980896493929	96.0652723851276	140.629136076436	FALSE	blue
gene571	2553.16716124521	1407.8878210154	630.890866341927	1117.9879590379	1526.09487865081	2796.6704984907	1114.80669037929	1053.58081519653	1228.37947503349	1180.74168650977	725.110245277149	960.967519764731	937.562941554264	865.483077342975	591.675328534916	656.607873783899	752.501995750241	513.069210692571	950.097093916182	983.641308290744	896.791114268179	1201.49329054921	419.635337157113	723.073535700919	675.473817073754	779.377238651299	1042.70382891597	910.493904660205	618.772430796874	1343.46967509791	647.05050720364	1628.07870975579	1359.58908321648	1436.46606550973	776.868789980787	FALSE	blue
gene580	932.149787762944	1638.88224675391	984.044194751489	1191.39354128663	827.600440506724	1017.96879787445	426.00961200186	364.272592440616	364.472460016195	334.92486046074	386.137353466446	377.580070311194	353.754027405506	355.537768315099	348.582675686257	383.776140050266	169.279694216742	224.87115313405	236.256977203746	224.06869920359	223.85061354991	316.006952820865	178.671036905817	304.803688794351	281.720738810765	260.173873180112	281.626599028479	382.450842116328	421.747113035226	170.503794518403	245.673749835924	531.319142796507	560.286475088343	580.650797620471	423.306113259083	FALSE	blue
gene583	1818.94038481865	631.682866700946	254.403850201946	254.040047537673	483.999691925632	499.921921601123	336.769711732414	412.840292993138	306.917357468243	375.580369853169	388.957752438381	472.630085997054	592.330908223845	387.614729293328	333.776316660259	463.39294727798	394.828949152486	254.697089905316	379.909050555716	273.918255586291	319.938102172498	116.170701934306	210.384565430977	260.226962378197	262.357003482789	69.1877536659384	349.225374247772	146.492401504209	181.657290570696	474.12575369278	372.265853407209	527.446233752159	525.274209074316	696.635548001235	196.996330877026	FALSE	blue
gene602	1069.73086922142	837.217269295785	966.781423452734	947.159787988948	690.128414219201	1068.05266744794	1069.3268817669	792.554471802075	889.357216737336	652.495955398359	787.171371181752	763.310610146498	930.39731977753	849.139259325076	843.364030146308	820.151716650024	506.375150913036	340.743335723129	389.328987678853	462.592138891721	636.216191696918	398.59659409244	678.260751149726	800.160852760004	579.176659727443	314.511847994851	980.155476260119	997.230541472596	1169.98280881602	219.021882915379	384.085342171079	1043.44633743808	925.212675309474	881.904734159994	955.701029512971	FALSE	blue
gene612	2924.398960604	248.220365719019	459.026904368145	185.460787675337	467.19444275046	313.934874933646	1598.82534884193	1046.59849775246	1175.35879763341	479.957083734129	590.859663941365	546.866599250816	621.025897999864	608.898770674095	577.919196690257	511.117296166798	322.371586178529	249.308496913674	443.125386613823	423.546741435872	415.294167101702	214.395648144587	275.793862313276	633.549483345143	457.295512671509	327.644028224749	566.780050187988	1024.97061623886	237.047309270233	399.80875461096	1167.1705318762	1320.25953831985	1370.53591359307	1682.58244256084	989.502811331116	FALSE	blue
