agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene299	794.3	955.21	341.99	1310.96	5168.59	5684.78	337.68	189.86	179.38	71.52	184.52	250.67	338.27	270.59	581.52	570.62	127.29	173.83	54753.09	234.76	316.64	47.63	36.62	41469.78	23635.15	15.63	12.23	21.17	17.8	13.54	14.08	159.68	67.76	114.58	37.22
gene30	27.14	1178.2	74.32	761.59	4321.24	3458.97	32.27	32	26.92	14	37.99	34.46	37.49	69.3	83.65	64.32	57.95	35.9	7205.97	50.32	56.75	22.2	14.14	35630.97	22140.79	21.38	26.41	50.3	35.76	26.53	54.44	50.38	30.78	81.4	16
gene300	1094.72	1332.67	658.74	2132.17	6572.94	6829.64	467.31	419.98	377.26	221.28	548.04	588.64	483.59	531.43	1351.71	1117.79	445.59	420.1	74729.78	542.84	896.7	138.55	82.9	59043.5	28808.34	50.51	52.18	34.5	37.69	35.59	48.75	177.72	113.23	158.68	57.78
gene301	10	514.72	11.22	105.99	856.85	1233.93	31.58	36.33	23.97	2.89	34.32	38.29	32	50.32	99.53	79.86	32.29	24.04	4908.37	39.66	36.38	0	6.38	4296.89	3170.17	0	0	4.04	4.77	1.13	2.02	26	6.74	19.61	8.57
gene302	26.36	190.03	162.62	88.85	224.62	646.5	31.83	30.86	21.06	7.68	44.96	67.24	44.68	39.7	104.73	89.82	48.19	38.85	4511.75	39.29	71.45	7.14	11.89	3714.8	3601.23	5.62	4.04	4.22	9.2	2.8	8.08	18.67	11.08	18.16	0.48
gene304	2562.76	1210.72	298.54	1216.9	3598.02	3776.2	219.29	133.19	126.37	74.89	220.98	249.49	338.43	255.49	574.64	456.6	249.12	180.15	70324.09	387.85	552.32	27.74	26.36	39315.75	35597.1	23.97	10.05	23.44	14.28	15.03	35.35	199.52	91	122.05	54.52
gene305	494.85	880.3	739.79	1319.98	6355.64	7470.09	490.37	496.15	382.16	172.22	514.35	620.05	545.65	651.93	1388.65	1053.64	421.37	367.54	71060.04	649.03	1053.77	155.74	97	57016.64	42795.48	58.21	40.64	73.47	31.68	33.91	70.3	188.29	88.9	193.05	68.62
gene306	827.95	9.67	0	0	68.19	25.14	19.09	10.19	16.7	3.02	9.2	9.54	14.1	21.4	29.86	27.23	12.18	9.62	3317.51	35.54	35.94	9.63	2.29	1716.38	2106.94	2.62	2.02	4.7	0.45	2.02	1.48	12.54	0	3.12	3.85
gene308	2	9.46	0	3.16	269.42	445.48	56.18	44.7	24.27	12.36	8.79	40.57	37.56	31.29	59.95	43.85	33.87	19.95	4635.3	71.84	31.2	4.04	3.99	3436.17	2731.6	6.92	2.24	13.83	6.05	6.06	6.02	25.36	12.5	3.96	7.42
gene309	8.52	1376.15	106.19	282	1259.15	996.29	124.27	49.97	47.57	43.8	66.39	114.67	81.31	111.12	180.26	172.14	80.83	86.24	20590.89	159.84	151.38	12.1	4.07	9239.04	7964.5	9.17	1.94	17.64	6.84	6.56	13.37	69.91	14.12	53.7	23.36
gene31	792.24	2238.07	458.03	1287.89	6249.11	5428.98	215.83	116.07	85.45	83.68	271.76	276.45	363.96	348.69	823.74	629.35	288.13	262.07	68682.63	426.65	428.79	105.19	82.03	57470.76	37158.75	30.1	28.86	67.48	37.32	23.98	22.14	102.97	65.66	68.47	41.52
gene310	656.94	980.24	252.3	594	1365.27	3228.42	221.1	151.24	130.62	85.02	198.42	247.24	301.26	243.61	539.25	426.59	211.28	142.67	36466.56	303.66	380.77	36.2	17.35	17592.83	12676.23	19	15.21	26.48	11.39	28.55	32.74	108.16	58.44	105.44	23.62
gene311	12182.25	14316.03	2049.1	5660.45	26203.8	34389.95	439.15	505.85	276.24	194.56	562.97	733.56	1007.6	979.79	2221.28	1911.93	2369.65	1423.12	733029.37	3358.22	3281.3	2266.38	901.63	631782.81	346006.34	618.47	368.98	383.21	487.51	197.22	418.1	989.05	646.03	1134.13	403.88
gene312	859.35	598.38	246.26	175.66	1580.69	3133.79	95.24	71.2	55.92	47.33	109.13	141.57	90	106.64	326.59	253.44	97.85	90.77	16423.41	111.51	125.7	15.35	18.27	10958.42	11231.86	5.41	4.65	2.02	7.61	4.77	13.49	57.01	40.7	60.4	21.46
gene313	4151.36	5081.78	1061.21	3417.22	13129.53	13072.35	615.9	405.42	403.23	216.53	469.56	614.69	607.74	643.67	1704.74	1148.22	402.36	351.98	63680.77	539.76	1333.35	284.64	99.85	48187.66	45440.58	87.26	72.65	73.9	58.15	48.75	75.93	202.26	136.84	171.87	123.6
gene314	0	1.5	0	0	0	15.17	37.9	38.74	29.58	8.54	28.28	40.11	44.02	42.26	83.08	76.5	47.08	44.7	16.81	71.65	82.7	8.08	6.06	13.43	0	2.02	2.02	4.01	0	2	8.08	20.4	2	12.73	0
gene315	2	6.38	0	46	64	336.35	25.48	12.58	10.51	1.12	16.43	19.36	11.63	5.31	33.91	13.28	22.2	6.43	2002.61	8.7	7.25	0	6.06	1555.5	1223.91	0	0	2.02	0	0	3.83	7.27	2	19.1	0
gene316	0	0	0	0	0	0	0.04	2.47	0	0	0	0	0	0	1.32	0	0	0	0	0	0.01	0	0	0	4.07	0	0	0	0	0	0.43	0	0	0	0
gene317	1170.23	5906.72	1502.74	3570.55	17632.41	21097.38	554.77	386.99	403.87	255.34	594.56	671.29	670.95	689.06	1385.13	1063.86	505.61	425.34	120639.59	761.37	891.69	144.88	104.78	104511.41	85731.4	85.98	52.21	102.66	82.7	45.39	120.47	341.69	201.44	375.2	145.54
gene318	1849.62	963.26	306	1392.15	3652.26	4165.48	180.42	162.04	124.75	39.46	183.25	230.83	251.01	191.79	657.87	455.69	157.4	133.76	58175.05	288.67	321.87	40	23.57	30209.91	21394.11	16.78	7.55	34.29	6.31	18.02	28.17	124.98	78.28	62.66	60.09
gene319	2	2	0	0	478	0	19.54	17.09	2	0	17.05	6.06	21.68	16.16	25.94	29.9	14.58	7.79	3444.79	57.25	22.22	16.94	4.04	2277.01	1303.94	2.02	6.11	0	0	2.02	2.02	4	6	6	4.86
gene32	222.95	120.75	12.48	14.38	118.5	162.44	86.72	60.87	47.86	31.57	63.47	63.39	56.75	90.47	143.41	105.46	84.63	69.09	886.51	104.79	95.32	14.2	9.58	630.23	493.95	13.77	10.45	6.46	8.79	20.37	13.05	43.57	11.92	24.63	8.22
gene320	1149.65	730.82	250.69	861.38	2552.97	4482.87	29.87	14.33	11.23	44.08	42.25	57.23	106.35	42.17	168.96	117.83	111.06	100.08	67203.24	256.02	175.19	61.92	21.01	36484.13	23505.81	11.83	8.12	20.43	14.14	5.18	19.95	25.33	35.03	20	27.59
gene321	65.04	7.22	26.25	90.01	518.95	812.83	39.04	38.37	15.84	11.5	43.17	17.1	22.77	22.78	95.37	67.5	25.95	11	2001.04	30.15	48.66	11.36	0	1591.52	1603.93	0.76	0.65	0	0	3.94	1.24	12.15	15.91	9.15	10.69
gene322	113.32	2.05	3.28	118	172.32	209.14	37.25	18.48	31.01	8.51	28.24	25.44	12.38	24.31	44.57	45.67	20.48	7.5	1510.48	12.42	27.94	4.97	0	731.12	927.84	2.02	0	1.75	0	1.59	0	5.45	3.41	6.57	0
gene323	2245.77	6830.48	1008.85	3067.23	9661.42	13333.64	791.44	480	378.4	291.38	685.21	699.16	849.46	831.81	1472.97	1192.14	590.45	448.74	151520.16	932.24	951.13	335.88	144.24	115101.82	91115.73	80.22	46.18	112.95	54.25	50.46	87.83	304.54	234.73	298.68	131.96
gene324	1.93	406.44	14.89	60	157.38	469.34	25.63	35.49	9.94	10.46	39.64	39.93	32.4	28.99	64.59	57.87	30.29	39.69	4612.59	35.39	43.88	14.49	10.51	6215.36	7375.38	11.15	11.59	10.66	7.42	0	13.22	32.57	22.71	32.54	8.46
gene325	496.73	19.01	86.91	642	855.69	505.21	17.08	15.18	6.45	1.83	23.71	16.83	13.32	25.05	46.25	37.33	15	7.84	7432.9	17.43	11.01	4.04	2.02	3679.38	3757.97	1.83	0	3.63	2.02	0.09	2.02	31.81	13.1	17.62	3.98
gene328	0	0	0	0	0	0	3.12	4.84	1.91	1.7	1.18	1.35	3.3	5.2	15.25	9.46	4.1	0.14	0	4.27	4.76	4.01	0	0	0	3.8	0.78	1.43	3.55	1.93	2.61	2.69	2.48	3.33	3.89
gene329	0	0	0	0	0	0	2.85	1.52	1.73	1.51	2.11	4.04	0.46	0	8.22	4.13	0	1.52	0	3.58	3.65	1.41	0	0	0	0	0	0	0	1.99	0	0	1.39	0	0
gene33	887.76	87.99	195.13	828.53	3802.05	4953.92	268.08	267.49	256.1	108.17	311.98	398	270.35	439.32	1052.53	809.61	444.38	283.86	84462.18	526.06	673.45	84.85	56.51	42294.53	36241.18	52.27	17.08	38.92	10.43	37.59	68.45	185.79	86.34	195.07	52.12
gene330	2	20	333.81	2	1346	1388.97	31.52	37.3	24	32	50.46	50.14	68.67	60.46	158.53	126.22	55.72	63.55	16528.97	88.08	155.93	37.76	25.73	13236.2	11942.07	10.03	12.12	15.22	11.9	4.04	18.17	35.63	18	21.9	13.33
gene331	0	0	0	0	0	0	0.98	1.5	1.51	0	1.94	0	0	0	2.02	1.79	0	0.57	5.93	1.32	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0
gene332	1403.74	1308.67	263.42	876.73	4488.02	7201.39	40	67.56	33.96	25.87	37.73	71.44	45.3	30.22	204.84	103.89	56.57	28.22	9227.33	50.8	89.44	51.75	28.01	11029.44	9332.15	10.1	6.06	7.35	9.94	3.97	16.39	47.25	31.54	50.53	9.95
gene333	11.28	379.66	56.17	211.23	1037.72	932.84	36.94	34.68	8.69	13.11	22.14	36.41	34.26	33.71	118.17	60.45	19.54	13.97	2221.91	20.72	27.04	4.87	6.06	1204.66	929.33	1.27	0	4.04	2.02	0	1.2	13.3	8	27.31	6.73
gene335	0	0	0	0	0	0	266.38	268.96	181.17	58.25	92.95	135.25	169.43	99.25	398.43	258.82	133.76	97.05	0.5	182.62	180.54	65.4	32.73	1.74	4.54	16.31	5.03	12.11	14.14	8.89	14.53	133.37	46.59	75.76	54.16
gene336	1886	1058	352	780	4304	5794	152	114.69	77.46	80	184.18	221.52	199.89	208.6	428.75	325.82	162.15	102.52	42936.09	238.89	244.63	110.83	78.67	43736.27	27375.23	29.53	16.07	39.77	22.18	22.21	42.2	84.68	64	109.8	34
gene337	1183.13	115.99	305.59	1212	4195.67	4195.32	393.32	206.23	244.54	91.29	214.63	232.61	94.94	265.83	534.84	440.17	140.26	103.17	22346.65	178.95	302.86	62.34	35.06	18209.28	15577.43	28.27	9.39	37.81	10.1	16.16	21.87	137.62	33.64	117.98	20.33
gene339	366	2192	343.26	1384	3645.34	5221.14	111.81	130.2	67.63	52.08	148.15	204.98	326	212.54	574.75	378.67	192.19	159.07	47509.05	297.49	320.49	34.02	46.32	34347.13	26912.09	11.55	8.08	37.79	12.12	12.11	16.16	36	43.07	39.94	16.75
gene34	1295.33	1369.82	574.1	1097.15	6928.68	8683.81	275.14	209.17	196.66	93.64	365.51	501.34	413.52	411.15	1575.72	1154.83	1128	647.96	205319.89	1482.98	1721.74	174.89	125.74	97681.87	86737.59	88.47	40.93	155.85	75.7	94.88	153.3	310.56	323.1	254.05	137.5
gene340	0	5.21	0.48	206.93	84.75	29.56	2.61	0	5.96	1.28	2.01	2.02	1.17	5.46	8.88	12.7	4.37	1.35	1223.23	3.61	0	1.04	0	829.66	287.48	0	0	0	0	0.95	0	1	0.08	3.11	0
gene341	8	327.99	99.94	474	1092.19	1156.45	42.87	37.94	35.9	8	42.13	28.15	35.55	37.17	100.99	102.5	37.81	28.27	4911.91	7.84	54.08	26.05	4.04	3321.34	3010.84	4.03	0	8.08	4.04	2.02	4.04	25.55	4	23.26	10
gene342	4431.11	6006.61	1534.66	5517.99	13870.64	16142.89	653.87	457.26	266.81	182.16	542.31	689.66	567.73	478.85	1183.19	1034.37	614.97	332.08	141870.03	797.51	735.97	163.37	67.98	70742.9	48040.86	65.52	32.06	48.91	33.8	32.62	67.46	464.88	206.18	378.75	97.64
gene343	12.28	36.7	294.48	329.97	2495.82	3158.4	142.23	153.04	111.26	49.09	94.29	167.4	163.25	116.44	388.74	245.99	193.26	104.83	21984.44	204.11	376.76	24.22	26.39	12730.4	10030.83	7.94	12.12	12.96	2.02	8.58	34.82	66.79	27.32	48.3	33.96
gene345	1506.49	1375.72	335.82	1770.29	4967.49	7136.32	313.37	252.75	195.77	136.33	263.92	377.24	392.97	354.16	916.84	661.91	428.28	259.15	67249.66	517.63	834.09	94.98	52.63	40071.26	26921.53	36.93	31.71	36.2	36.66	25.25	51.74	154.42	78.7	163.24	62.04
gene346	7.89	714.85	59.31	131.54	501.01	717.58	57.53	52.57	30.96	34.07	37.4	49.32	30.65	50.35	131.46	97.95	77.59	46.77	9755.23	88.83	118.2	14.14	6.06	4970.99	5572.46	5.99	2.7	3.26	0.86	2.02	10.1	41.58	10.21	33.99	2.25
gene347	694.86	1657.82	207.07	650.77	2110.5	2342.71	70.22	138.26	68.11	30.34	104.91	116.98	115.94	80.29	174.02	145.31	92.54	76.67	21584.74	117.99	192.82	25.05	20.17	10325.52	12098.38	10.05	9.26	18.25	1	7.04	11.92	45.9	38.88	60	18.63
gene348	431.39	1426.29	467.05	964.42	3095.39	3816.36	188.14	173.67	85.89	47.22	164.61	201.24	150.51	176.88	395.43	279	119.31	145.31	31291.67	191.5	389.04	32.12	22.84	17779.45	21519.66	19.69	11.84	12.95	8.08	18.45	35.91	102.66	50.75	116.3	30.89
gene349	11.76	42.03	69.98	438	1775.63	2564.21	79.5	78.55	59.5	46.6	58.8	92.14	68.37	91.38	290.54	145.57	91.61	58.79	17160.77	128.65	160.67	31.77	38.94	10760.4	9868.13	15.43	2.02	7.35	16.13	6.05	14.52	48.49	31.55	40.7	16.15
gene35	550.4	658.77	56	278	2454.85	2091.02	33.1	32.34	18.87	5.34	24.12	46.63	63.99	44.03	95.89	92.16	50.39	22.83	8829.03	38.6	78.42	21.61	9.25	6508.54	3851.66	8.08	2.02	6.28	2.02	1.42	8.08	25.94	14	32.16	11.41
gene350	10.15	45.18	93.58	344	1676.73	1982.51	129.24	145.01	73.33	78.64	86.7	114.56	110.35	114.98	299.31	224.27	102.57	50.98	13080.95	122.5	250.08	51.22	28.14	10447.47	14630.83	38.38	5.88	31.79	6.06	6.05	18.55	50.98	36.12	68.1	28.94
gene351	229.01	335.28	52	3.64	973.75	971.81	34.22	19.52	29.25	3.94	35.28	61.38	33.69	44.1	218.01	124.8	65.08	67.96	15950.05	51.02	118.74	64.25	34.34	27358.27	14785.91	22.75	4.5	4.03	20.2	7.17	7.54	45.11	12.78	41.1	10.5
gene352	8	6	28	0	130	50	20.83	34.67	34.06	6.82	29.11	16.71	7.25	25.85	32.9	36.15	21.39	7.57	2615.47	23.4	21.42	13.82	7.02	2817.32	2301.78	0	0.65	2.51	3.02	0	0	8.64	2	18.75	11.57
gene354	388	564	42	4	440	304	14	14	8	20	23.95	22.21	26.68	46.29	51.28	44.62	28.28	8.07	3205.76	37.07	15.13	0	2.02	3892.42	2757.14	8.08	6.05	2.02	0	0	0	6	2	2	0
gene355	777.13	2206.63	474.68	754.8	5343.69	8472.91	478.33	303.02	275.93	258.93	569.08	800.01	825.24	693.63	1667.32	1254.38	666	451.1	78465.52	645.02	834.89	229.24	107.71	77688.91	64288.19	43.1	77.32	88.2	72.13	31.71	41.38	195.76	134.63	178.99	91.42
gene356	3.44	136.19	40.54	198	803.74	886.6	47.38	56.35	26	28.51	45.26	55.14	27.63	57.33	162.48	103.58	54.77	41.67	10159.79	76.66	200.27	1.76	18.1	5895.54	4358.64	9.33	3.68	5.1	0	10.1	21.35	31.43	17.91	29.04	2
gene357	324.01	551.57	107.88	814.34	1047.36	2361.6	45.8	41.12	24	25.04	80.15	103.97	165.02	118.19	352.11	313.13	124.93	108.98	30460.14	185.25	164.89	70.45	34.18	24075.42	21685.87	29.54	16.14	30.09	22.1	2.02	12.25	49.75	51.57	29.88	25.81
gene358	488.97	206	30	250	872.15	778.21	14	24	2	12	26.45	18.14	33.99	21.66	46.35	58.38	37.23	30.64	8196.97	48.32	41.67	29.53	1.98	5171.21	4149.93	4.04	8.08	2.02	4.04	6.06	4.04	20.73	2.01	24.69	12
gene36	52.36	13.13	37.81	198	947.13	880.9	18.46	30.86	19.12	11.75	23.99	37.09	31.68	50.37	106.31	42.38	37.59	27.48	5611.66	37.41	104.51	21.45	10.75	4044.56	3918.02	2.02	4.04	7.79	2.02	1.64	6.06	38.28	10	25.1	8.54
gene360	1374	1475.21	759.7	2680.7	9113.51	13601.24	403.36	556.76	393.43	197.67	276.81	499	387.41	422.75	1096.75	823.53	619.28	367.27	118210.62	713.24	1051.58	136.33	95.95	72730.68	41958.82	56.49	41.56	58.4	23.99	61.89	96.94	245.1	99.69	144.65	73.51
gene361	1744	1096	114	342.47	2211.43	2024.3	28.22	14.26	6	9.38	22.56	39.82	49.83	28.48	102.25	73.29	70.87	45.41	12965.53	71.42	74.06	20.94	20.2	7866.58	5060.26	5.86	2.02	10.78	4.04	2.92	5.88	37.87	30.33	44.58	16.53
gene362	0	0	0	0	0	0	0	0	0	0	2.02	1.39	0	0.99	1.07	0.99	0	0	0	0	0	0	1.93	0	0	0.41	2.02	0	0.73	0	0	0	0	0	1.9
gene363	544.97	1188	216.72	628	2188.23	1494.95	71.41	44.68	56.08	8.7	54.41	57.45	77.92	86.02	179.94	126.88	52.03	52.25	15937.36	79.96	110.28	2.02	12.12	9603.96	6537.34	0	10.1	7.08	2.02	9.13	14.14	64.38	23.7	45.93	13.7
gene364	226.06	737.8	238.83	1215.5	2592.74	2611.21	119.18	85.49	67.41	31.41	83.59	131.37	113.29	99.82	292.01	210.14	68.21	60.61	14959.8	113.84	154.3	39.66	22.16	12589.62	8500.84	3.61	2.02	16.1	5.94	7.46	14.11	39.75	17.45	29.98	23.94
gene365	796.62	754.07	640.21	1065.66	6464.07	5824.42	494.05	493.9	323.81	221.26	570.34	607.73	606.9	513.52	1388.25	962.38	717.17	484.11	112516.75	850.09	1101.65	281.96	173.93	78366.85	62442.32	78.08	63.61	95.26	73.05	85.21	122.97	256.43	177.41	197.18	180.7
gene366	1267.93	1665.65	601.68	2562.66	9475.06	12651.4	332.04	265	192.53	139.24	342.39	443.27	467.96	307.58	720.87	622.5	309.17	213.5	87165	491.69	462.64	147.15	43.26	56607.01	53752.2	26.88	22.07	30.28	24.2	35.7	47.04	191.11	142.33	195.32	89.18
gene367	0	0	0	0	0	0	1	0	0	0	0	0	5.08	0	0	0	2	0	0	1.11	0	3.12	1.11	0	0	0	0	0	0	0	0	0	2.2	0	0
gene368	0	0	0	0	0	0	4	0	2	0	2.02	0	2	0	4.04	4.04	2.02	3.89	0	0	0	2.02	0	0	0	0	0	0	0	0	0	0	0	0	1.81
gene369	222	17.32	39.67	0	249.75	1623.38	56.27	41.58	44.58	44.62	36.39	36.73	36.43	47.76	133.16	107.12	53.72	66.86	9027.46	88.55	84.7	20.2	8.46	7896.68	6811.92	0	0	4.93	6.06	8.08	0	32.73	12.08	22.25	16.04
gene37	0	61.32	18.21	1.78	73.77	169.25	3.33	3.73	0.46	0.85	2.6	8.07	15.01	2.85	18.91	15.19	16	7.08	2087.48	11.08	27.31	0	0	1144.36	652.89	0.19	0	0.43	0	0.54	1.99	8.48	2.73	13.53	0.62
gene370	15.97	394.32	245.87	1076	3449.4	2354.66	455.6	245.82	206.95	81.1	326.48	344.31	290.83	355.82	991.54	661.41	889.35	538.97	19107.47	1000.25	2441.18	578.15	298.44	24689.16	15825.07	222.2	277.2	197.86	165.34	81.77	116.57	96.87	35.74	70.43	16
gene371	0	0	0	0	2.98	0.37	86.55	42.22	64.45	22.99	73.64	66.16	53.1	54.86	181.46	110.84	173.14	157.46	9.05	206.6	295.52	82.82	40.42	0.95	11.84	26.51	20	49.24	28.06	20.09	25.42	47.88	36.2	33.05	20.57
gene372	22	1133.58	266	1355.13	3655.07	3868.34	203.79	193.64	142.88	129.45	241.28	297.56	219.94	197.37	407.75	329.84	149.51	82.32	36219.24	258.25	242.35	102.02	27.86	37419.71	18882.81	29.67	8.08	13.98	16.01	10.1	35.3	63.79	58.73	70.59	21.6
gene374	11.3	1003.12	168.31	287.78	1770.6	1756.83	139.85	87.11	44.79	32.75	104.06	78.98	118.11	123.75	242.52	184.39	139.12	57.34	15584.03	184.28	238.51	38.55	25.88	8695.52	6724.09	20.02	10.67	12.47	8.24	7.76	23.7	65.85	34.84	43.08	21.58
gene376	2	113.01	0	0	286.12	474.92	23.57	14.1	21.63	5.53	31.53	6.17	17.88	24.85	48.21	41.13	10.6	4.03	1558.62	12.94	14.11	13.59	0	1213.11	1323.36	2.77	0	6.06	0	2.02	0	5.38	1.95	10.06	0.47
gene377	742.17	778.36	160.66	359.02	3396.3	3317.4	144	144.78	117.47	65.27	63.23	96.86	108.96	92.59	281.98	147.49	128.83	68.62	25627.46	157.72	230.31	24.99	16.91	12114.28	13364.05	3.13	8.68	12.8	7.53	4.41	16.11	52.64	47.34	58.46	34.23
gene378	811.75	290.5	113.47	239.93	2733.67	3073.28	243.77	184.71	177.04	101.18	243.64	287.78	252.22	356.21	713.77	452.51	305.66	218.1	45756.05	392.09	502.41	25.34	30.18	24452.01	16210.96	16.2	7.2	39.72	21.8	42.82	46.78	76.54	25.81	84.5	32.47
gene38	3919.62	4072.21	1850.76	5215.63	17140.18	21689.93	789.89	392.13	390.19	352.63	1353.69	1336.23	1452.47	1285.31	3034.3	2380.28	918.76	758.01	201720.77	1008.69	1151.54	290.12	185.23	180861.63	104418.6	61.82	64.97	105.39	84.04	42.59	59.4	313.9	231.1	322.6	137.6
gene380	0	0	0	0	0	0	3.5	1.25	0	0.51	3.16	2.02	1.58	4.17	14.87	9.4	9.13	3.05	0	1.49	5.18	4.03	0	0	0	0	0	0.67	0	0	0	4.98	0	2.18	2
gene381	0	0	0	0	0	0	13.07	4.84	1.64	0.74	0.53	7.64	0.15	4.62	5.5	4.09	0.69	4.31	153.82	1.5	2.9	0	0	246.48	163.42	0.11	0	0.02	0	0	0	0	0	0	0
gene382	332	66	216.23	962	4447	3067.77	236.86	178.89	161.78	83.36	173.18	230.29	108.66	158.39	446.97	278.76	119.98	141.54	20860.48	188.84	345.04	19.12	32.26	15580.21	14110.08	18.18	8.07	22.22	16.09	16.52	15.68	78.71	27.02	67.97	29.83
gene383	421.19	559.04	38.46	204.68	699.3	926.76	26.94	17.89	27.74	3.75	31.97	28.82	27.49	19.67	112.1	48.84	13.71	16.14	6218.09	48.69	56.51	10.65	2.02	3772.13	3680.11	2.02	0	8.08	2.02	4.41	0	16.29	10.37	7.62	4.67
gene384	1031.67	2037.98	296.08	852.57	4629.16	5434.73	1191.04	619.44	574.5	234.6	1136.69	1428.15	698.82	1559.77	3722.96	2502.23	2638.29	1793.12	19569.15	3216.93	5288.64	1263.17	783.6	13562.81	8436.07	427.04	449.82	648.63	817.73	217.28	398.62	156.47	54.5	118.98	53.06
gene385	4106.86	5821.6	1397.59	4729.99	15173.11	16673.74	838.5	634.47	597.11	280.3	879.48	1066.85	941.59	1062.58	2245.89	1832.77	662.48	464.52	83969.51	891.8	1248.96	180.86	115.53	54938.09	39414.43	45.67	39.04	51.24	45.88	41.77	85.03	302.88	242.55	150.56	160.26
gene386	1656.95	3527.26	393.55	1273.36	6240.41	9231.5	667.79	425.82	367.44	198.38	830.96	871.48	659.33	967.27	2213.06	1708.09	768.09	602.32	85414.19	921.93	1347.2	179.1	136.02	59735.62	43167.81	74.37	42.45	100.87	59.62	73.04	121.58	276.5	116.1	116.32	106.49
gene387	202.97	435.3	105.23	442.2	1303.89	945.68	73.31	57.02	57.61	26.07	70.2	129.05	120.97	87.68	212.49	181.4	105.09	99.04	18527.9	133.13	186.85	49.07	25.95	16873.03	15544.29	18	10.1	15.09	15.51	16.16	14.67	63.05	34.55	64.08	19.46
gene388	619.01	1126.91	134.26	989.54	1847.09	1494.41	54.93	45.19	25.3	10	39.76	29.27	39.28	46.63	64.78	62.95	45.25	31.7	18419.32	43.67	82.54	14.89	15.27	8317.4	7970.69	1.72	3.66	2.02	3.78	8.07	4.04	36.06	23.75	26.17	14.46
gene389	1.02	1.02	0	51.11	111.94	214.16	209.93	99.71	135.98	71.14	194.57	221.08	233.76	246.34	565.52	436.04	392.19	318.17	2612.66	543.98	634.85	133.69	87.95	1802.89	2002.44	24.97	39.89	87.25	31.28	25.99	38.22	120.97	76.5	82.39	60.49
gene39	0	0	10.89	1.91	92.42	99.37	15.54	18.64	10.01	7.32	45.82	45.44	41.39	34.43	118.23	75.34	20.42	7.89	2055.21	15.98	17.09	0.63	6.7	2591.96	1977.77	1.58	0.07	2.36	5.77	0	0	1.79	6.17	3.56	1.58
gene390	156.64	511.62	0	214	435.14	1201.17	96.01	70.28	88.8	43.55	84.63	95.24	97.53	97.21	321.16	188.21	34.24	44.1	6374.24	54.1	87.51	30.3	7.17	6164.47	5067.37	6.06	2	5.74	2.02	4.04	0	31.38	11.86	27.77	9.59
gene391	1568.19	970.39	533.18	932.25	5455.42	7105.7	507.16	481.97	381.98	181.95	429.05	569.01	214.32	550.74	1099.06	866.93	476.39	323.82	23073.23	637.63	1126.23	165.49	93.78	20710.93	17352.55	53.03	67.97	74.98	102.26	35.56	67.82	137.76	48.25	118.68	67.65
gene392	2110.36	738.07	508.15	1217.4	6000.4	8508.58	184.12	146.63	79.69	46.22	148.14	190.67	145.61	195.25	427.8	399.29	134.12	100.01	31085.32	153.83	237.54	51.51	16.77	16579.84	16101.07	17.51	12.11	11.41	3.83	14.19	19.36	111.98	46.18	99.63	38.6
gene393	3784.23	3694.05	1039.5	3185.55	12820.4	18162.09	601.74	477.82	377.95	274.14	864.42	928.81	765.48	840.85	1679.43	1530.76	708.4	577.12	189131.5	1043.35	1188.89	294.83	181.23	123286.54	68989.42	118.68	42	50.29	52.4	72.4	136.31	260.24	183.26	280.84	100.98
gene394	470.3	339.77	326.18	850.25	2428.64	3135.38	161.99	143.04	111.95	44.97	99.26	115.12	130.33	118.66	291.93	204.03	97.72	39.82	25617.79	67.2	75.97	6.35	4.84	12999.82	11136.12	7.1	0	3.75	0	0	15.97	69.32	19.32	54.41	26.26
gene396	528.87	94.27	277.26	779.98	4485.24	5571.89	201.95	151.84	146.3	73.12	154.06	189.79	122.16	225.56	523.34	348.1	92.77	72.56	14463.19	114.65	278.92	24.59	18.02	11189.96	10338.18	15.61	18.18	11.98	15.87	9.49	16.36	83.62	47.08	61.27	25.06
gene397	1972.81	2076.97	1132.95	3639.15	19664.28	18895.19	801.72	715.82	450.79	270.1	766	817.7	810.14	902.45	1759.75	1304.05	446.39	274.07	76013.05	580.98	1183.52	157.12	80.3	57014.46	32510.38	84.37	32.69	28.86	26.17	27.57	55.33	293.38	110.45	210.29	75.57
