agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene1019	1962	585.38	56	370	2455.83	1683.02	81.77	60.41	37.56	49.18	86.11	74.74	87.56	66.65	209.25	171.38	72.59	40.52	13063.21	86.39	120.01	16.46	10.02	6807.3	6833.12	9.01	6.06	0	0	4.04	2.55	62.02	10.34	56.48	3.94
gene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	5.64	0	0	0	0	0.74	1.79	0	0	0	0	0	0	0	0	0	0	0.38	0	0
gene1020	2	194.26	82	97.59	925.98	1430.72	57.65	79.3	25.49	56.75	42.32	47.72	82.26	57.12	127.05	109.52	25.76	15.38	3099.4	27.92	33.11	10.1	12.02	2908.81	2190.29	1.73	2.29	0	2.82	0	4.04	18	19.09	11.22	9
gene1021	0	219.68	64	86.04	346.62	137.79	44.61	42.5	16.66	10.75	19.76	40.26	9.45	24.27	66.02	46.55	10.52	10.05	2539.17	18.16	33.75	0	4	1626.52	2562.42	10.33	1.71	2.63	1.16	0	0	9.27	12.87	14.33	4.62
gene1023	3.55	31.03	63.34	281.8	886.67	1819.15	78.39	59.78	35.11	12	62.12	60.24	79.29	45.67	149.94	116.91	53.65	54.91	10089.66	95.97	127.3	14.14	14.92	4601.42	1985.13	3.95	2.02	14.37	2.02	4.04	14.14	31.54	12.82	30.45	6
gene1024	11.34	7.39	27.81	70.36	364.04	326	39.29	44.55	21.76	12	30.57	33.04	27.2	47.28	90.37	59.89	22.75	40.28	5365.83	71.92	103.76	19.07	6.73	3713.38	3938.54	3.22	5.34	6.06	2.02	2.02	8.07	40.59	14.89	22.63	8
gene1025	452.57	1150.1	132.53	1218.07	3114.79	2857.71	255.38	187.71	172.86	90.59	267.27	268.24	167.18	255.72	743.41	445.3	170.2	88.43	26592.86	188.52	472.15	47.77	39.7	22481.58	19653.28	22.38	12	41.87	12.18	14.09	26.07	119.74	50.95	65.04	50.93
gene1026	1554	767.91	412.9	1336.09	3097.83	4260.91	408.51	255.01	213.31	84.23	317.39	425.77	277.53	363.02	937.91	790.01	302.28	250.14	53354.08	450.53	598.75	74.26	79.23	37447.33	39001.89	26.96	30.29	50.48	39.61	19.73	45.52	191.7	92.66	120.76	51.87
gene1028	780.39	2542.99	346.85	1081.09	4138.65	5424.74	478.86	356.32	255.09	123.51	415.49	472.67	402.65	435.63	1240.11	903.86	358.85	273.89	43964.65	491.05	774.39	179.3	134.15	36444.35	26431.4	46.25	48.8	42.77	34.26	42.25	47.81	201.3	121.32	153.61	83.43
gene1029	1759.17	2393.27	480.09	1364.99	4123.97	5201.79	296.89	229.64	286.95	112.7	238.55	317.65	279.14	226.16	882.38	771.99	364.64	321.18	62207.59	438.67	542.93	88.15	60.33	32783.27	24633.36	31.22	23.72	43.59	14.06	38.86	30.61	223.74	84.47	212.65	97.94
gene103	0	112.1	119.13	222	475.55	766.8	39.69	32.44	27.02	12	24.7	28.56	15.16	32.58	60.17	42.35	32.41	20.98	5253.8	35.6	85.97	31.67	8.89	5282.4	2302.49	5.63	3.58	10.69	1.46	0	18.05	24.48	6.03	22.53	1.65
gene1030	0	4.23	22.17	29.17	393.46	317.22	25.31	30.35	19.58	6.4	26.27	28.29	38.19	37.35	126.08	105.35	31.89	38.14	6592.71	62	54.18	9.68	3.1	3183.21	2368.22	2.93	1.91	3.62	3.76	12.8	10.25	28.75	11.12	23.91	5.63
gene1031	266	1588	564	1464	5784	6614	373.93	263.92	187.81	96	237.03	209.14	157.39	235.52	616.78	503.26	88.45	69.85	16278.23	142.71	257.55	52.23	28.2	12540.74	14066.99	11.5	12.12	21.8	22.21	20.02	13.02	134.94	54	68	35.39
gene1032	671.93	32	96.69	242	1620.65	1908.64	85.1	45.47	39.58	32.47	41.56	45.84	91.78	42.78	198.03	164.6	33.31	24.35	4777.21	47.46	56.48	11.15	7.03	3448.91	2839.75	8.56	4.33	1.99	0	0	13.63	9.8	7.68	5.96	8.22
gene1034	320.91	2563.99	323.5	761.58	3486.42	3738.4	337.2	206.29	251.19	88.61	284.34	317.81	336.39	320.24	750.67	647.29	331.32	213.12	49315.39	395.13	491.53	89.65	30.78	34035.85	30564.48	16.13	15.36	39.2	27.45	18.93	28.77	159.84	49.18	137.98	35.66
gene1035	998.87	32.36	204.41	726.03	1683.03	1774.34	137.7	65.63	122.51	49.61	109.75	129.05	136.73	131.12	406.1	302.86	297.21	167.28	40733.46	302.24	337.53	127.8	45.79	38656.01	35454.2	51.6	35.32	57.39	46.72	10.68	10.6	124.89	73.74	93.6	41.39
gene1036	0	154.63	81.3	191.64	925.44	632.36	135.88	91.18	53.82	50.7	93.67	87.38	71.15	78.55	246.04	194.97	69.63	40.38	7027.52	59.48	134.85	6.06	13.09	3172.58	3273.58	5.77	6.98	15.67	6.04	8.08	4.62	29.4	19.29	26.52	6.16
gene1037	28.4	542.92	188.36	285.03	2335.56	1110.29	148.09	129.66	86.71	23.21	159.15	175.82	175.4	184.55	378.26	289.92	94.22	73.59	12955	132.97	279.34	25.32	14.81	6776.69	7329.63	8.47	6.74	14.13	3.37	12.08	17.87	58.78	34.26	67.57	21.18
gene1039	328.94	711.29	317.48	838.4	3479.04	3767.6	159.07	210.95	114.84	61.71	128.16	210.67	113.89	175.91	300.98	303.91	222.32	213.42	45789.48	333.9	340.26	74.37	47.18	23524.37	11731.46	19.5	10.1	31.43	15.62	17.31	40.15	95.37	47.66	170.04	18.24
gene104	0	0	0	0	513.17	312	16.89	10	16.26	6	5.87	4.04	13.23	8.08	41.55	4.04	2.01	0.13	1331.42	6.06	17.19	0	0	611.19	909.93	0	0	4.04	2	0	0	4	6	4	0
gene1040	879.81	1797.25	656.45	1275.68	7139.74	7449.72	433.86	292.43	243.75	194.72	349.26	479.63	302.58	402.38	875.8	719.28	253.67	221.67	56867.62	484.06	505.45	49.23	21.69	28258.58	18736.34	19.15	11.73	18.34	9.46	15.49	63.62	134.99	55.12	140.05	42.53
gene1041	1532.72	1725.08	862.72	1812.91	13354.05	13633.68	301.69	257.22	118.08	141.31	388.13	612.28	436.7	579.49	880.96	1026.43	682.92	565.41	122431.37	895.28	989.26	124.64	67.03	68364	53599.32	58.92	40.11	70.36	53.23	65.59	118.29	165.04	119.25	142.23	71.23
gene1042	2264.22	3411.15	857.72	2858.12	13514.99	16646.66	466.59	313.65	225.35	220.21	605.4	844.66	645.29	789.95	1798.41	1480.36	988.52	771.09	179040.47	1306.82	1495.55	201.96	117.58	119551.6	80540.76	69.25	77.14	115.59	98.56	101.67	143.09	252.76	185.87	121.34	105.97
gene1046	9.11	5.82	5.57	74	494.52	702.61	14.86	12.82	7.04	5.63	28.77	23.92	26.12	12.96	40.6	48.18	19.37	8.07	3181.52	19.72	28.63	8.02	4.38	3139.56	3116.36	0	0	5.14	1.6	2.01	0.8	20.11	7.89	23.27	4.42
gene106	1520.36	1841.46	446.07	1685.39	4510.13	5698.04	308.9	242.74	178.41	125.41	230.16	316.14	334.05	304.59	686.69	589.5	304.43	174.16	53471.85	301.11	501.72	97.62	50.5	38375.51	29319.48	19.94	23.87	40.6	11.88	5.88	28.81	167.34	89.7	138.4	52.29
gene107	1097.64	411.81	187.93	545.1	2864.7	1801.95	181.54	105.35	108.52	52.4	122.19	162.43	142.39	156.47	313.29	277.3	112.45	51.44	19698.48	110.82	180.2	40.78	9.84	11542.78	12232.31	18.37	4.04	17.84	4.04	4.04	17.3	59.47	63.83	89.63	32.35
gene109	7.3	13.55	89.7	84.56	1040.3	792.85	54.48	21.35	30.09	10.19	88.69	74.58	53.68	54.01	921.85	775.73	596.16	488.37	186638.86	660.75	852.48	120.61	39.77	116762.38	29883.19	35.99	30.67	56.71	38.05	21.42	15.34	115.74	34.26	92.59	18.93
gene11	14591.88	19675.75	4892.05	16470.85	70642.19	82021.81	1799.21	1450.6	1207.9	807.01	2363.91	2472.33	2633.67	2464.35	5994.31	4612.43	2530.58	1698.12	664628.99	3482.64	4310.28	1199.62	771.5	425857.13	259699.68	390.5	212.3	297.38	231.22	246.88	349.79	1111.33	795.82	1033.42	448.67
gene110	0.17	0	22.21	0	31.79	8.78	1.2	1.94	0	0	2.66	0	0	0	2.05	5.88	0	0.21	51.08	0	3.47	0.36	0	221.45	333.81	0	0	0	0	0	0	0.27	0	1.84	0.18
gene111	0	0	0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0	0	52.56	0	0	0	0	11.91	41.43	0	0	0	0	0	0	0	0	0	0
gene112	953.04	2640.97	371.1	2051.59	3459.44	7402.62	284.16	181.88	145.38	168.04	379.79	390.72	538.18	444.66	1330.06	898.72	622.96	452.76	89934.44	879.35	1128.28	241.6	133.56	78010.99	41983.48	63.82	63.02	81.52	64.63	54.53	106.44	179.12	104.98	172.86	93.12
gene113	565.87	458.52	120.48	285.6	806.63	1191.99	76.17	43.64	36.51	42.81	111.78	94.62	112.4	150.4	354.31	266.96	167.94	89.63	14609.56	210.17	267.97	44.93	29.46	8284.67	11145.74	14.44	7.94	21.96	14.76	10.57	17.91	36.29	20.68	23.76	27.91
