agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00222580	7683	9947	51944	43576	1054	1205	106203	135083	5923	5268	51400	61631	4025	6722	3610	13291	20233	19773	15681	13876	20502	19057	21714	23629	21183	19351	22425	19059	26587	31502	22426	28954	37656	36523	8351	9643	22632	6343
Gene:WBGene00222581	39088	41115	69326	59539	2407	2947	31872	34084	3109	2346	30205	25505	2364	3533	2202	5757	22740	21019	14361	12250	14432	15907	16438	18869	15663	18082	35840	31203	20787	22514	18307	20185	18235	17899	4310	7179	7016	4303
Gene:WBGene00222582	21662	25729	56671	48731	1823	1927	39945	45240	3197	2531	18843	20359	3122	4251	2483	6223	17670	17992	14369	13378	13763	12140	13015	13723	11913	16906	16184	14038	12854	14453	11203	13280	16400	15409	4542	7249	10348	4146
Gene:WBGene00222583	1981	1480	2491	1852	115	108	3809	4486	437	407	2947	3491	341	585	361	493	853	1351	976	910	946	786	1103	1207	1000	1138	1561	1289	1379	1509	1086	1496	2288	2364	787	553	1378	335
Gene:WBGene00222584	6858	8326	16564	15429	388	501	18282	21105	1144	1017	7772	8176	1379	2220	1183	2168	4689	4624	4245	3670	3498	3318	5035	5337	4514	5020	12535	10890	9900	11220	8562	10222	12151	12286	2350	2183	4427	1139
Gene:WBGene00222585	15	70	735	555	7	19	7917	10834	931	933	3721	4197	2922	2889	1545	4635	17012	20022	13795	14149	9150	8675	10063	10202	10169	10987	2062	1784	1213	1255	1082	1201	701	674	134	115	226	71
Gene:WBGene00222586	1015	986	2218	1753	153	165	2805	3357	498	505	3104	3290	769	1218	675	852	1430	1933	1597	1430	1176	1217	1518	1811	1565	1807	3370	2845	1983	1914	1631	1942	2970	2705	1167	704	1556	532
Gene:WBGene00222587	4585	4649	7928	6212	243	274	8969	10258	942	823	6545	6867	882	1740	1028	1556	3223	4621	3630	3094	3158	2949	3217	3728	3074	3522	5123	4386	4096	3962	3334	3917	5211	4794	1620	1209	2462	654
Gene:WBGene00222588	50	97	243	309	9	6	10602	15578	1116	1175	2700	3679	13	26	25	23	77	104	57	59	105	109	193	342	87	77	907	791	65	88	73	67	80	52	257	309	352	214
Gene:WBGene00222589	13	67	15579	10531	644	593	3567	4890	419	331	387	361	376	485	277	428	1544	1543	6058	5787	1133	1420	210	206	184	169	741	743	473	648	505	643	675	862	107	69	179	36
Gene:WBGene00222590	4222	4805	10832	9310	687	763	20784	25922	3679	3433	29999	30393	2790	4064	2549	3405	11043	11088	8376	7796	8045	9511	6175	7226	6108	7159	6888	6249	7591	8500	7417	7766	7556	7690	4115	4405	7152	2314
Gene:WBGene00222591	80	55	1961	1334	99	81	433	518	84	84	122	131	23	36	19	39	78	71	391	389	75	105	110	130	150	190	99	115	321	350	223	379	471	610	84	110	141	50
Gene:WBGene00222592	341	527	3134	2648	68	84	5841	6645	308	269	726	890	161	199	107	295	539	693	480	294	1070	827	1021	1071	1125	1249	2718	2501	1050	1238	1051	1107	884	998	274	147	484	150
Gene:WBGene00222593	5	27	233	206	24	27	3518	4495	960	742	5409	4936	265	418	229	202	529	740	566	436	603	629	361	399	294	389	340	274	232	236	245	308	76	98	168	115	150	115
Gene:WBGene00222594	2610	3094	8575	8151	194	264	42499	55591	3065	2810	19616	24396	2803	3253	1683	5076	12091	13780	18989	18916	5506	5736	10447	11098	8438	7898	19070	14662	5419	5830	4239	6027	4953	5382	1734	1007	3457	865
Gene:WBGene00222595	1412	1629	5086	4292	187	165	5120	6550	614	482	2849	3156	359	590	328	629	1728	1896	1738	1598	1469	1372	1175	1476	1218	1314	1765	1556	2299	2455	1919	2176	3406	3268	576	465	939	243
Gene:WBGene00222596	1396	1322	4234	3408	174	285	10678	12439	1517	1248	6968	8020	903	1165	718	1627	4207	4359	3729	3249	3588	3487	3418	3685	3315	3425	6434	5607	2761	2967	2376	3072	3315	3575	911	836	1803	551
Gene:WBGene00222597	12	88	6077	4934	154	200	3472	3631	372	181	529	623	162	142	84	309	1348	1454	4132	4038	566	716	1854	1741	1029	985	660	570	563	604	482	712	1543	1500	65	48	107	37
Gene:WBGene00222598	1	1	1	6	0	0	110	112	10	0	162	145	23	5	6	19	431	432	296	417	4	3	6	5	0	2	14	26	58	93	81	62	67	58	1	1	1	2
Gene:WBGene00222599	2775	2836	5503	4788	331	351	7853	9155	1068	991	8123	7816	594	917	513	803	2042	2605	2152	1793	1751	2006	2263	2952	2654	2872	5304	4456	3980	4068	3413	3986	4683	4616	1433	1270	1776	743
Gene:WBGene00222600	8067	8765	24457	20326	717	866	19750	21090	1549	1286	9146	8819	2111	3176	1676	3946	8989	10862	8007	7503	7558	6783	7445	8460	8148	8402	4570	3918	6040	6570	4745	6214	7237	7247	1273	970	2072	559
Gene:WBGene00222601	614	673	1629	1311	51	104	14927	23753	2146	2487	37303	31011	3926	6047	3161	4635	18387	21723	16509	16117	13342	12196	14795	18673	15941	17121	33960	27659	9626	8980	6712	11297	517	503	396	388	468	411
Gene:WBGene00222602	677	714	11962	10790	433	441	34327	43217	3141	2858	17485	25053	4595	6904	3852	6960	16497	18785	28815	24518	15722	15114	17095	20385	17908	23120	7257	7053	6233	6823	6178	6789	3323	3492	367	262	556	133
Gene:WBGene00222603	1492	1852	2586	2476	79	92	3105	3646	237	191	1449	1608	296	487	260	518	834	1171	982	848	792	674	1082	1226	1042	1133	2836	2399	5409	5289	4445	4621	6371	6142	800	474	1046	358
Gene:WBGene00222604	516	485	51	58	2	11	241	313	21	30	6	2	4	16	10	2	24	30	5	20	24	35	147	92	56	67	46	35	28	40	45	44	77	65	80	80	72	49
Gene:WBGene00222605	1894	2570	4228	3589	212	273	4704	5619	596	524	3741	3996	250	391	228	687	2267	2504	2023	1704	1476	1549	1621	1781	1728	1855	3599	3167	3879	4319	3700	3999	6370	5959	633	670	1284	436
Gene:WBGene00222606	551	828	5902	5368	366	392	7899	10018	1348	1220	19554	20392	1954	3052	1657	2849	8523	11030	7041	6633	5011	5026	7619	8684	6874	7364	6619	5533	5465	5625	4335	5761	5059	5063	450	448	808	270
Gene:WBGene00222607	40	122	3673	2558	289	341	6021	7797	1673	1499	9673	11105	949	1847	1068	1113	3483	3904	10124	10467	4350	4242	3819	4463	2644	3985	3002	2144	1257	1212	1201	1324	385	511	86	75	104	56
Gene:WBGene00222608	2	2	54	31	0	0	489	411	30	18	120	180	22	34	25	16	85	91	71	40	39	81	215	184	12	3	1701	1658	6	4	4	5	11	14	1	2	4	0
Gene:WBGene00222609	190	705	1487	1089	47	52	2046	2199	204	210	2099	1912	251	299	187	186	500	511	414	393	431	362	297	333	332	411	465	378	557	572	583	569	632	582	257	178	273	132
Gene:WBGene00222610	681	821	2138	1830	91	96	2695	3296	367	308	2138	1976	170	271	170	277	982	954	713	606	626	696	755	929	837	884	2307	1931	1773	2027	1663	1973	1513	1489	207	153	318	128
Gene:WBGene00222611	5458	6909	15378	13721	322	439	21476	26673	1264	1006	6756	8784	2803	3643	1997	5471	7653	8432	7218	6773	6495	5296	6547	6722	5624	6783	10390	9242	7712	8220	6555	8081	9051	9041	3666	2978	8234	1741
Gene:WBGene00222613	2294	2173	7144	6343	362	421	9166	10353	1373	1111	11845	10291	809	1437	828	1259	3531	4755	3306	3104	2800	2857	2931	3560	3179	3790	2820	2284	4188	4102	3536	3975	4368	4305	775	617	964	434
Gene:WBGene00222614	1091	1744	2753	2074	208	203	4786	6377	1214	809	4530	4544	419	568	331	670	1947	2258	1824	1766	1661	1550	1734	2105	1903	2020	2457	1900	1914	1941	1560	1905	2378	2325	709	613	1052	340
Gene:WBGene00222615	380	535	1579	1201	52	66	1139	1350	158	148	779	792	150	289	137	249	432	622	541	438	349	336	435	488	414	519	721	580	683	570	525	640	1142	1120	319	181	498	131
Gene:WBGene00222616	2569	2550	3896	3278	165	266	5111	5278	770	684	4169	4719	199	229	142	555	1748	2130	2114	1795	1281	1174	1652	1895	1386	1751	1734	1551	2177	2316	1918	2180	4464	4258	451	671	1072	365
Gene:WBGene00222617	1091	755	1755	1346	102	75	10579	14334	1381	1323	7332	8054	444	1144	569	879	1824	2273	2218	2330	1496	1508	1144	1281	711	735	1918	1544	2928	2680	2483	2486	3086	3240	446	440	712	334
Gene:WBGene00222618	11249	12624	18152	16176	598	629	25035	31308	2210	1669	10926	11799	997	1233	801	2076	5047	6335	4875	4345	4812	4061	5168	5110	4298	4907	7067	6044	8436	9564	6748	8758	10425	10057	3174	3097	6583	2174
Gene:WBGene00222619	72496	78375	77121	66589	2097	2552	50046	52567	4053	2697	9906	12300	5796	7961	7108	6965	10224	12722	8653	6856	9942	8181	6854	8147	5812	7500	12148	10241	30700	34173	29315	32137	48867	46282	4646	4857	13008	2445
Gene:WBGene00222620	4767	5831	22724	20515	607	776	40055	45908	2865	2590	17161	16637	1390	1504	1101	2351	8005	8669	6924	6258	5907	5786	8754	9564	8638	8203	12544	10650	9321	10594	7687	9703	14399	14119	1417	1489	2946	1195
Gene:WBGene00222621	265	194	609	461	19	14	885	972	107	96	721	573	62	96	76	99	281	289	197	175	227	238	469	421	372	412	2036	1626	1829	1926	1573	1698	1506	1570	183	164	367	143
Gene:WBGene00222622	1165	1412	4230	4012	228	273	6302	7864	797	752	4748	4719	452	546	356	624	2606	2248	1914	1553	1757	1608	1527	1722	1721	2044	2311	2032	1957	2095	1727	2012	2147	2102	320	265	570	155
Gene:WBGene00222624	7134	7155	69344	62202	2019	2413	91385	108474	7320	5739	20292	24511	6841	6996	4100	15458	43813	43692	40165	36449	21480	19918	30216	28897	26703	33661	13935	11842	19535	21497	17733	21753	30877	31271	4206	5740	8985	2907
Gene:WBGene00222625	582	659	6140	5304	146	145	5008	5939	310	210	1079	1545	211	395	246	374	809	930	535	423	513	522	327	465	328	446	4057	3640	487	468	475	513	569	642	588	513	1007	342
Gene:WBGene00222626	510	361	9659	9090	391	507	10128	12740	1379	1341	1526	1367	443	487	254	651	3472	3473	3278	2572	3630	3323	6205	6458	4256	4641	9837	9256	3742	3987	3379	3717	2368	2469	434	268	648	227
Gene:WBGene00222628	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1524	1485	0	1	0	1	2	3	2	0	0	0
Gene:WBGene00222629	2158	1805	9327	8134	234	256	8565	9858	560	447	1734	2429	472	765	401	915	1747	1810	1406	1222	2341	1993	2301	2547	2485	2910	4542	4061	4988	5807	4499	5288	7419	7024	345	388	716	241
Gene:WBGene00222630	1	3	9	10	0	2	1312	1998	355	315	1367	1382	57	81	59	75	155	192	152	149	136	128	131	147	131	77	71	82	371	290	325	312	365	401	210	66	336	75
Gene:WBGene00222631	1549	1807	3839	3386	248	264	4180	5149	865	536	4814	4595	377	655	349	470	1494	2024	1501	1291	1249	1283	2057	2236	1889	1845	2027	1625	1997	1977	1613	1986	2871	2996	692	627	954	416
Gene:WBGene00222632	474	791	3697	2815	178	237	4229	4851	617	596	5396	4976	758	1003	557	1174	2690	3615	1997	1924	5307	5564	2647	3249	3158	3904	3521	3255	1814	2082	1875	2307	1833	1594	521	201	759	141
Gene:WBGene00222633	6239	7919	23837	19602	1110	1172	20054	24405	2542	2205	12537	15027	1792	2039	1242	3510	8153	8544	6174	5694	5514	4700	7388	7473	5251	7169	5921	5087	9203	9541	8114	9129	13210	13171	2233	2768	4647	1606
Gene:WBGene00222634	603	492	539	428	16	29	2451	3215	349	228	1489	1665	99	208	102	136	320	521	341	312	496	474	844	780	454	575	963	788	500	437	425	461	555	713	480	288	579	218
Gene:WBGene00222635	2239	2442	2933	2209	129	212	3222	3228	476	385	2716	2620	334	549	382	387	987	1094	909	766	806	829	765	839	689	803	1196	1073	1051	1208	984	1176	1707	1936	725	556	1088	426
Gene:WBGene00222636	1630	1972	3387	2782	131	151	4185	4634	522	421	2744	2619	555	849	531	708	1701	2149	1823	1693	1488	1630	1802	2066	1665	1828	4785	4410	2143	2187	1908	2255	2194	2251	635	432	874	261
Gene:WBGene00222637	6831	6710	14020	12678	427	603	19953	23052	1929	1537	14918	16849	6432	5279	3057	14168	30331	30362	44627	45572	13096	10771	24351	24480	26352	28683	18935	15882	20943	22979	18299	20825	18477	18077	4830	5462	10071	3423
Gene:WBGene00222638	2432	2972	9687	7779	494	603	3690	4583	681	490	4616	3643	1061	2006	1058	1607	3741	5840	4437	4342	4406	4712	3689	3709	3189	3579	3573	2866	3370	2888	2645	3033	3160	3278	592	278	888	372
Gene:WBGene00222640	2	3	453	472	32	40	1425	1371	254	176	339	599	86	114	29	154	870	745	3690	2888	312	312	421	406	395	551	200	126	113	88	81	113	76	100	17	8	23	7
Gene:WBGene00222641	514	270	1079	1053	43	59	1490	1676	183	195	1153	1059	402	480	270	375	1539	1413	1603	1452	719	673	1580	1559	1230	1006	3331	3282	469	503	459	396	346	364	311	316	303	266
Gene:WBGene00222642	2120	2721	6290	5124	239	339	3995	4779	615	433	2877	3156	320	655	329	704	1672	1785	1772	1545	1431	1473	1802	2008	1696	2080	8981	8324	4526	4957	4053	4359	6171	5883	713	714	1506	540
Gene:WBGene00222643	8085	8958	17033	14500	379	476	28427	35763	1847	1572	13919	14825	858	1157	765	1501	3559	3329	2810	2851	2414	2172	3051	3145	2440	2840	8037	6641	8759	9819	8114	8913	12546	11819	2358	2986	6722	1982
Gene:WBGene00222644	733	545	2163	1700	117	130	3844	4733	600	586	3144	3051	417	608	379	568	1477	1803	1586	1468	1252	1273	1533	1857	1380	1610	1373	1133	1319	1292	1040	1189	1240	1285	390	270	589	201
Gene:WBGene00222645	2120	3382	5608	5145	210	310	7594	9670	766	721	5780	6685	2497	3408	1836	5226	5011	5756	4983	4614	4285	3424	5010	5051	3964	5005	7236	6004	7537	7958	5722	7071	8469	8938	5335	4500	12202	2715
Gene:WBGene00222646	1581	1780	5252	4678	259	320	10468	13750	1799	1896	15653	13697	1379	2072	1151	1460	4981	5465	4212	4130	3337	3776	4617	5482	4416	4742	6542	5765	5584	5552	4769	5315	5660	5438	1124	734	1605	578
Gene:WBGene00222648	3	19	276	193	13	16	3611	3733	678	520	55	62	8	15	9	12	53	48	132	126	351	670	32	19	32	10	12	7	560	795	471	680	2487	2135	20	17	25	16
Gene:WBGene00222649	15027	21613	30574	27603	841	992	62443	70947	4677	3888	30871	33157	2120	2882	1637	3297	9888	10909	8077	7174	7254	6213	10858	11613	9181	9000	18496	15884	17671	18366	15983	19405	33084	31274	3624	3460	8409	2262
Gene:WBGene00222650	2882	2809	6787	5903	159	216	7527	7582	453	350	942	1113	189	155	108	331	810	845	302	259	316	304	550	726	577	576	570	462	1918	2036	1868	1792	1738	1858	304	200	654	130
Gene:WBGene00222651	2937	3169	5207	4540	310	341	6355	7416	942	741	5270	5490	606	908	626	755	1932	2389	1811	1863	1632	1582	1455	1753	1709	2174	1697	1423	2176	2165	1782	2196	2818	2775	794	532	1107	475
Gene:WBGene00222652	94	153	3491	2642	201	215	5529	5827	839	635	3332	3645	2321	2592	1559	3927	9262	10500	15565	15414	10349	9796	3789	4756	5060	6347	1237	1048	1581	1874	1448	1767	1705	1814	250	166	348	168
Gene:WBGene00222653	501	742	5469	4902	303	386	91	133	2	3	3	4	1	6	1	4	10	3	11	2	11	6	5	11	10	3	49	49	5	4	2	4	5	5	5	4	4	1
Gene:WBGene00222654	8098	11282	15550	13570	384	452	27882	35621	2026	1566	15691	16907	2484	3361	1773	4515	6642	7462	6068	5239	4647	4001	6374	6269	4870	6306	12330	11052	13614	15096	11520	13887	18340	17601	6899	5937	14574	3721
Gene:WBGene00222655	10	17	6430	5346	254	382	3575	3643	416	331	162	218	71	81	47	98	665	685	1423	1405	327	438	298	285	268	256	1295	1414	42	51	43	33	69	92	5	11	11	4
Gene:WBGene00222656	1970	2504	7363	5778	402	402	11139	13858	1611	1448	12101	12606	1553	2363	1206	2664	4183	4330	4313	3920	2458	2375	4357	4341	3129	3992	7379	6315	7671	8423	6765	7586	10793	10120	2806	2514	5327	1706
Gene:WBGene00222657	0	0	0	1	0	0	78	105	17	6	98	94	54	69	37	52	92	133	103	93	103	75	112	123	135	163	3580	3259	30	18	16	17	2	3	3	2	0	2
Gene:WBGene00222658	102	93	81	63	3	7	3755	4939	459	550	2743	2856	431	456	323	610	1364	1713	1403	1004	1640	1432	1304	1367	1266	935	776	639	1013	785	875	733	443	412	32	32	78	12
Gene:WBGene00222659	6795	8689	17106	14569	1066	1183	21742	24759	3521	3027	17952	18263	867	1231	681	1626	6261	6872	5729	4833	4955	4881	6709	7343	5836	5390	10845	9404	10471	11240	9458	10204	15866	15180	1120	1593	2347	837
Gene:WBGene00222661	272	93	3202	3317	121	191	2934	2634	333	196	218	157	127	157	74	243	475	517	857	954	723	623	748	662	910	876	572	377	503	516	465	541	831	829	39	41	53	20
Gene:WBGene00222662	0	12	545	534	15	23	284	325	26	28	126	152	56	101	51	92	138	248	168	105	233	234	155	200	134	184	197	192	852	876	794	730	687	593	13	14	13	14
Gene:WBGene00222663	4238	4397	7794	6749	245	360	9522	10944	1036	860	6387	6394	762	1264	721	1151	2822	3211	2647	2359	2421	2339	2607	2908	2637	2642	3693	3265	4063	4435	3168	4133	6286	5875	1196	818	1908	644
Gene:WBGene00222664	9085	12022	28212	25364	942	1012	29494	34910	2259	1968	12296	13810	2082	3127	1786	4915	9195	10424	7684	7102	7786	6953	7712	8369	7653	8824	9108	7919	10111	11174	8892	10534	12074	12312	2733	2641	5986	1676
Gene:WBGene00222665	1260	1908	4409	3695	240	282	5776	6597	789	699	2686	2832	101	172	122	343	1430	1687	1341	1214	1402	1348	1449	1579	1303	1423	1694	1580	1612	1754	1496	1778	1924	2083	162	228	565	229
Gene:WBGene00222666	2377	2313	6549	5432	333	490	8787	10858	1521	1546	8683	8279	358	510	300	779	3070	3308	2396	2190	2665	2394	2250	2469	2072	2432	3719	3003	3902	4384	3461	4161	5496	5081	693	658	1223	508
Gene:WBGene00222667	2269	3176	6211	5379	175	183	10048	11838	736	659	4131	4290	531	740	433	852	2165	2495	1924	1799	1818	1680	2278	2552	2219	2357	3234	2952	2669	2999	2231	2886	4882	5052	754	697	1306	427
Gene:WBGene00222668	1201	1693	2480	2641	133	151	3527	4878	471	563	2541	3347	1094	1438	801	1689	1894	2149	1966	1593	1572	1323	1903	2012	1568	1923	4346	3926	3777	4055	3315	3794	6375	6479	2210	2196	5329	1222
Gene:WBGene00222669	514	670	1582	1399	55	85	1463	1531	177	149	781	1096	51	112	61	272	755	832	627	632	634	593	726	752	704	897	1896	1511	1138	1175	925	1083	1097	1136	179	269	334	153
Gene:WBGene00222671	13770	14981	23073	18930	1463	1834	11676	12637	2170	1768	16812	15429	1717	3003	1827	2675	10275	10569	7418	6665	7378	8118	7487	8373	6986	8233	11341	9002	7053	7913	6413	7450	7999	7512	1696	2886	2085	1596
Gene:WBGene00222672	0	10	450	313	31	18	1174	996	212	115	164	169	29	17	22	21	416	321	3723	3677	45	86	141	141	102	154	173	130	53	45	41	66	72	82	104	65	114	32
Gene:WBGene00222673	819	875	1911	1805	130	131	3712	4429	542	641	3544	3718	333	571	302	440	1278	1531	1739	1605	1013	1174	1676	1844	1559	1583	2212	1844	3090	3205	2626	3093	3641	3376	921	606	1157	390
Gene:WBGene00222674	1850	2460	7672	6971	281	338	10018	11290	1088	849	2244	2641	408	578	293	816	1577	1662	1449	1211	2201	1690	1372	1501	1400	1751	2332	2231	4125	4452	3882	4176	6583	6685	734	761	1624	503
Gene:WBGene00222676	11690	14187	21509	18706	761	936	32100	41379	3213	2715	30039	32344	3348	4214	2293	9001	15508	17039	14903	13270	13493	10968	15255	15198	13160	15580	22429	19260	23879	26168	18932	24128	35254	34358	7689	9114	20842	6065
Gene:WBGene00222677	915	1197	1421	1149	58	64	1458	1928	303	231	1250	1726	314	627	340	492	670	872	752	571	631	609	929	891	601	877	2486	2024	2364	2318	1761	2152	4109	4129	1122	853	1753	580
Gene:WBGene00222678	498	737	2160	1677	246	286	2843	3034	627	527	1732	2008	295	411	248	330	862	1113	795	692	799	1054	1135	1312	1090	1141	2374	1863	6594	7159	5117	6000	9735	8627	348	339	585	198
Gene:WBGene00222679	99	192	849	723	23	25	31390	37484	2490	2245	11393	13652	205	326	151	307	960	1223	845	763	2570	2741	1465	2592	2984	4044	424	422	1417	1249	1080	1469	403	317	20	8	29	11
Gene:WBGene00222680	7257	7482	11495	10755	223	260	6928	7607	381	297	2554	3005	218	185	123	414	1401	1500	1158	981	952	881	1448	1613	1441	1481	1489	1414	2458	2668	1786	2214	3832	3648	522	532	1032	341
Gene:WBGene00222681	262	181	393	367	22	15	156	212	28	29	54	67	17	53	19	36	71	127	86	69	50	66	15	18	11	17	66	71	231	266	206	277	464	480	488	250	736	190
Gene:WBGene00222682	752	1035	3190	2985	48	147	4273	4783	376	305	1949	2271	268	435	277	590	1710	1700	1481	1275	1341	1308	1518	1604	1345	1657	3049	2629	2028	2229	1504	1941	1194	1451	739	687	1292	516
Gene:WBGene00222683	0	0	70	76	0	9	47	48	2	5	32	25	3	4	4	7	21	19	20	37	67	63	403	417	22	1	10	13	52	57	29	46	59	48	2	3	4	3
Gene:WBGene00222684	708	895	3167	2630	387	500	3620	4160	1147	1112	5453	5925	798	1274	669	1631	3020	3973	3114	2949	2597	2451	3907	4039	3128	3712	6338	5267	4698	4584	4241	4657	3749	3987	762	689	1664	431
Gene:WBGene00222685	2111	1962	4810	3755	197	298	3738	3994	433	357	2065	2890	846	1356	735	1452	2645	3103	2842	2691	2228	1851	2474	2823	2007	2495	2423	2111	2121	2057	1860	2011	3755	3859	834	565	1212	406
Gene:WBGene00222686	7662	7650	13508	11622	1005	1155	12465	14937	3036	2295	10937	11058	757	1449	808	1814	5407	6317	4863	4539	4842	4431	3983	4611	3967	4607	5125	4209	8276	8888	7460	8396	13903	13380	2087	2065	3941	1704
Gene:WBGene00222687	3502	3945	7336	5493	361	424	8016	9662	1341	1097	6919	6738	1001	1598	954	1441	3086	3681	5400	5565	2710	2709	3151	3392	3093	3578	3946	3459	4674	5206	4114	4758	7011	6644	1537	1122	2300	850
Gene:WBGene00222688	9932	11156	14552	11322	743	837	18025	23067	2490	2133	14092	16711	1716	2762	1601	3075	6480	7403	5836	5238	6942	6052	6078	6186	5710	6746	13843	12319	9207	10396	7465	9809	17781	16884	3765	4276	8137	2472
Gene:WBGene00222689	1290	1530	5349	3975	309	432	5439	6023	959	658	5498	5416	839	1467	816	1069	2873	3333	3192	2994	2340	2505	2386	2603	2453	2792	2321	2038	3292	3483	2789	3307	4090	3944	575	374	887	309
Gene:WBGene00222690	2412	4315	8162	6855	147	207	24152	30744	1651	1575	11462	13846	1236	1449	875	2408	5450	6565	3564	3050	4656	4184	5340	6036	4960	6432	10237	9580	8931	10008	8117	9369	9382	9527	2573	1714	5418	1012
Gene:WBGene00222691	4302	5248	10183	8932	408	541	10972	13252	1311	1098	8679	9397	923	1265	703	1858	6036	7221	5923	5719	4585	4456	6283	6714	6648	7576	8146	6962	5769	5859	4868	5907	8323	7962	825	1005	1697	741
Gene:WBGene00222692	384	314	305	149	19	28	702	809	174	130	1410	1159	60	139	66	52	95	114	55	53	56	47	56	27	33	33	6114	5797	106	110	84	96	179	180	377	220	390	168
Gene:WBGene00222693	1676	2110	4817	4217	263	304	6964	8883	1140	1002	8241	8879	702	1016	575	1129	3605	3950	3717	3254	2763	2762	3946	4182	3430	3767	6990	6094	4161	4854	3591	4231	4065	3896	619	620	1201	528
Gene:WBGene00222694	11496	13903	23929	20401	1349	1400	18214	21003	2517	2052	16374	17334	2503	4113	2648	4000	8682	9303	7024	5910	6679	5901	7650	7923	7299	7486	12344	10725	12981	14212	11387	13254	18240	17754	3434	3234	6809	1646
Gene:WBGene00222695	1961	2358	8796	8095	380	453	17696	22681	2005	1911	12840	16322	1354	1832	1088	2704	6153	7252	5524	4091	4593	3902	3746	3943	3021	4217	3663	3455	5004	5504	4485	5287	8750	9178	2375	2141	5123	1374
Gene:WBGene00222696	1000	647	1375	1029	52	100	2345	2773	349	302	1149	1204	99	183	117	296	687	728	697	596	825	787	771	857	668	767	2870	2448	1411	1685	1315	1428	1630	1738	215	333	387	230
Gene:WBGene00222697	6032	8409	13016	11488	464	532	55928	79232	5770	5524	46199	53949	3707	4658	2566	6826	14293	14805	15179	13743	9836	9992	16714	17541	13601	13106	31090	26296	16243	17775	12765	16025	14011	14350	11053	12453	23785	7537
Gene:WBGene00222698	1564	1758	4146	3444	196	265	2965	3733	496	500	2400	2300	549	879	512	735	1245	1566	1155	1055	904	865	1541	1632	1342	1592	1748	1414	3315	3198	2770	3216	4056	3928	766	454	1182	313
Gene:WBGene00222699	465	854	1995	1792	70	137	2327	2629	333	262	1732	1734	374	533	342	622	1259	1547	2040	1797	1042	1075	1470	1515	1043	1372	3051	2471	4036	4414	3625	4130	3980	4204	683	570	1141	401
Gene:WBGene00222700	100	145	1160	1057	86	81	1242	1392	188	242	1854	1720	296	478	275	356	864	915	805	582	616	640	616	707	591	650	1094	1008	734	684	531	674	887	934	258	189	323	120
Gene:WBGene00222701	35897	37882	48175	42585	3647	3898	59490	70277	11664	9906	56005	55232	649	666	497	1744	15683	16922	13006	10627	12387	10659	16583	18385	14629	14264	18168	16343	22651	25394	22106	24480	46254	42539	2910	4672	6865	2719
Gene:WBGene00222702	13	138	185	161	8	15	240	308	47	40	259	292	50	78	41	45	74	109	82	72	95	61	57	98	46	73	154	176	199	193	186	207	351	392	271	130	319	107
Gene:WBGene00222703	185	116	1840	1774	85	81	3036	3571	378	354	1183	1350	137	172	127	228	400	466	344	303	290	335	157	147	70	133	337	241	649	799	570	783	1126	997	796	519	1536	283
Gene:WBGene00222704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	118	0	0	0	0	0	1	0	0	0	0
Gene:WBGene00222705	856	1012	1749	1582	139	98	18317	23213	3247	3197	24787	29071	1386	2859	1502	2507	7047	9488	5111	4397	7865	8441	4008	4481	3544	4258	3070	2354	2705	2410	2076	2438	2237	2417	501	501	843	364
Gene:WBGene00222706	0	69	665	607	42	50	430	456	48	47	355	364	42	89	49	109	173	198	109	129	82	98	43	30	11	7	56	37	2272	2716	1998	2118	4337	3866	197	138	344	61
Gene:WBGene00222707	3656	4184	16669	15402	528	809	67307	91459	8114	7732	29890	34472	3629	3626	2053	4734	18319	20482	19576	13918	22408	18926	22482	26242	22676	25007	20423	19334	9808	10779	9333	9965	6844	6970	1735	1187	3039	801
Gene:WBGene00222708	3792	4011	8373	6828	232	243	10538	12123	811	567	3989	5020	802	1239	661	1195	2902	3553	2889	2644	3091	2701	2913	3033	2956	3227	3582	3169	3629	3853	2998	3746	4305	4205	811	719	1434	460
