agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220346	0	0	2	0	5	6	0	0	3	3	12	4	0	4	0	0	4	0	2	3	4	3	4	1	3	0	6693	6919	12	20	12	13	19	24	1	6	8	2
Gene:WBGene00220348	43	0	7	1	0	0	23	9	6	2	36	15	4	4	8	4	23	19	3	4	13	10	10	18	10	19	34	34	37	41	28	23	59	56	21	31	27	6
Gene:WBGene00220352	750	745	1638	1387	72	122	1394	1705	337	215	1441	1426	520	884	502	754	1295	1666	1316	1295	1418	1344	1127	1191	1146	1482	969	809	1073	1000	870	1024	1504	1533	456	300	575	173
Gene:WBGene00220355	64	32	241	202	21	3	64	52	0	34	31	34	14	30	12	25	103	102	122	132	80	87	217	206	178	308	342	317	655	756	554	707	883	979	7	6	9	7
Gene:WBGene00220356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	300	0	0	0	0	2	0	1	2	1	0
Gene:WBGene00220358	4	2	1	8	0	0	2016	2641	3605	2964	23778	26349	47	232	109	66	841	1291	392	358	1664	2128	1179	1179	641	977	1178	1006	192	120	117	118	33	51	141	146	241	16
Gene:WBGene00220359	373	268	542	462	36	21	720	799	111	92	1188	1078	126	167	74	168	400	777	504	492	555	476	697	769	649	841	964	898	625	510	456	496	616	595	166	130	247	135
Gene:WBGene00220360	0	0	12	29	0	0	51	51	21	9	0	0	0	1	0	1	0	3	0	0	5	1	1	0	0	0	2	3	451	859	272	344	243	204	1049	478	1618	499
Gene:WBGene00220368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	61	1	0	0	1	0	0	1	1	1	0
Gene:WBGene00220376	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Gene:WBGene00220380	0	24	114	222	8	23	234	174	48	23	33	15	29	41	30	29	70	111	175	129	126	125	204	156	245	113	77	67	268	333	372	450	16	9	250	203	298	117
Gene:WBGene00220387	0	8	0	0	0	0	0	8	0	0	256	0	1	1	0	4	3	0	2	0	3	0	1	1	0	0	11	6	0	1	0	0	0	0	0	1	0	1
Gene:WBGene00220389	36	52	55	111	0	20	38	50	3	4	33	18	3	4	5	1	1	32	43	42	9	6	25	25	3	6	566	534	19	16	8	23	39	54	27	35	16	10
Gene:WBGene00220390	57	83	217	243	33	32	2601	3570	607	674	4715	4334	244	455	277	294	377	621	294	286	515	536	391	518	354	396	3305	3289	137	121	120	144	81	84	101	69	128	60
